Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.244, 322.786, -3.48368, 226.597, 320.457, -124.727, 226.547, 320.386, 115.307, 0.455716, 0.64448, -25.2036, 
2019 Aug 19 (Mon) 0:30, 228.261, 322.809, -3.16024, 226.592, 320.45, -124.408, 228.233, 322.77, 116.84, 0.0957488, 0.135409, 79.4342, 
2019 Aug 19 (Mon) 1:00, 231.692, 327.661, -2.99481, 231.692, 327.661, -122.995, 231.691, 327.661, 117.005, 5.88682e-08, 8.32522e-08, -96.8191, 
2019 Aug 19 (Mon) 1:30, 232.02, 328.126, -2.76197, 232.02, 328.126, -122.762, 232.02, 328.126, 117.238, 5.90706e-08, 8.35384e-08, -96.5289, 
2019 Aug 19 (Mon) 2:00, 229.73, 324.887, -2.61294, 229.73, 324.887, -122.613, 229.73, 324.887, 117.387, 5.83268e-08, 8.24865e-08, -96.1184, 
2019 Aug 19 (Mon) 2:30, 232.395, 328.656, -2.56508, 232.395, 328.656, -122.565, 232.395, 328.656, 117.435, 5.92755e-08, 8.38282e-08, -96.2954, 
2019 Aug 19 (Mon) 3:00, 233.091, 329.64, -2.59418, 233.091, 329.64, -122.594, 233.091, 329.64, 117.406, 5.95047e-08, 8.41524e-08, -96.3956, 
2019 Aug 19 (Mon) 3:30, 232.29, 328.508, -2.6498, 232.29, 328.508, -122.65, 232.29, 328.508, 117.35, 5.92041e-08, 8.37272e-08, -96.3995, 
2019 Aug 19 (Mon) 4:00, 231.414, 327.269, -2.56849, 231.414, 327.269, -122.569, 231.414, 327.269, 117.431, 5.89305e-08, 8.33403e-08, -96.2105, 
2019 Aug 19 (Mon) 4:30, 230.316, 325.716, -2.73831, 230.316, 325.716, -122.738, 230.316, 325.716, 117.262, 5.84844e-08, 8.27095e-08, -96.3447, 
