Time, 40 (35), , , , , , , 44 (39), , , , , , , 57 (53), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 16:00, 226.902, 0, 0, 98.5337, 0, 0, 0, 226.772, 0, 0, 100, 0, 0, 0, 228.466, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 223.57, 0, 0, 98.5337, 0, 0, 0, 223.422, 0, 0, 100, 0, 0, 0, 225.352, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 222.718, 0, 0, 98.5337, 0, 0, 0, 222.559, 0, 0, 100, 0, 0, 0, 224.641, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 218.475, 0, 0, 98.5337, 0, 0, 0, 218.29, 0, 0, 100, 0, 0, 0, 220.705, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 215.87, 0, 0, 98.5337, 0, 0, 0, 215.665, 0, 0, 100, 0, 0, 0, 218.33, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 207.101, 0, 0, 88.7901, 0, 0, 0, 207.334, 0, 0, 90.2564, 0, 0, 0, 211.324, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 205.893, 0, 0, 94.5376, 0, 0, 0, 206.12, 0, 0, 95.9848, 0, 0, 0, 210.166, 0, 0, 95.9848, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 217.114, 0, 0, 100, 0, 0, 0, 216.904, 0, 0, 100, 0, 0, 0, 219.631, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 219.503, 0, 0, 100, 0, 0, 0, 219.307, 0, 0, 100, 0, 0, 0, 221.862, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 212.582, 0, 0, 100, 0, 0, 0, 212.359, 0, 0, 100, 0, 0, 0, 215.269, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 216.246, 0, 0, 100, 0, 0, 0, 216.039, 0, 0, 100, 0, 0, 0, 218.738, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 216.928, 0, 0, 100, 0, 0, 0, 216.728, 0, 0, 100, 0, 0, 0, 219.335, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 219.027, 0, 0, 100, 0, 0, 0, 218.844, 0, 0, 100, 0, 0, 0, 221.228, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 220.146, 0, 0, 100, 0, 0, 0, 219.973, 0, 0, 100, 0, 0, 0, 222.215, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 222.007, 0, 0, 100, 0, 0, 0, 221.852, 0, 0, 100, 0, 0, 0, 223.876, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 222.715, 0, 0, 100, 0, 0, 0, 222.572, 0, 0, 100, 0, 0, 0, 224.436, 0, 0, 100, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 226.823, 0, 0, 100, 0, 0, 0, 226.706, 0, 0, 100, 0, 0, 0, 228.223, 0, 0, 100, 0, 0, 0, 
