Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 219.815, 310.865, -9.41826, 221.658, 313.471, -128.246, 221.799, 313.671, 111.692, 0.447719, 0.63317, 160.442, 
2019 Aug 19 (Mon) 0:30, 219.904, 310.992, -9.12856, 221.727, 313.569, -127.952, 221.865, 313.764, 111.987, 0.448524, 0.634308, 160.934, 
2019 Aug 19 (Mon) 1:00, 222.965, 315.32, -9.04779, 224.848, 317.983, -127.854, 224.999, 318.197, 112.088, 0.459436, 0.649741, 160.904, 
2019 Aug 19 (Mon) 1:30, 223.324, 315.828, -8.84283, 225.199, 318.479, -127.645, 225.349, 318.692, 112.299, 0.461057, 0.652033, 161.237, 
2019 Aug 19 (Mon) 2:00, 221.366, 313.059, -8.6624, 223.184, 315.629, -127.472, 223.322, 315.825, 112.471, 0.454441, 0.642677, 161.653, 
2019 Aug 19 (Mon) 2:30, 223.713, 316.378, -8.67134, 225.582, 319.022, -127.469, 225.732, 319.233, 112.476, 0.462725, 0.654392, 161.51, 
2019 Aug 19 (Mon) 3:00, 224.313, 317.226, -8.71151, 226.198, 319.892, -127.506, 226.351, 320.109, 112.439, 0.464788, 0.65731, 161.409, 
2019 Aug 19 (Mon) 3:30, 223.595, 316.212, -8.74625, 225.468, 318.86, -127.545, 225.618, 319.072, 112.399, 0.462181, 0.653622, 161.388, 
2019 Aug 19 (Mon) 4:00, 222.854, 315.163, -8.65511, 224.704, 317.779, -127.457, 224.849, 317.984, 112.487, 0.459708, 0.650125, 161.584, 
2019 Aug 19 (Mon) 4:30, 221.841, 313.731, -8.78784, 223.679, 316.33, -127.597, 223.821, 316.531, 112.346, 0.455904, 0.644746, 161.412, 
2019 Aug 19 (Mon) 5:00, 222.382, 314.495, -8.95719, 224.245, 317.13, -127.765, 224.392, 317.338, 112.177, 0.457526, 0.64704, 161.091, 
2019 Aug 19 (Mon) 5:30, 222.399, 314.52, -9.38412, 224.296, 317.202, -128.198, 224.449, 317.419, 111.743, 0.456865, 0.646105, 160.356, 
2019 Aug 19 (Mon) 6:00, 221.884, 313.791, -9.62635, 223.788, 316.484, -128.446, 223.942, 316.702, 111.493, 0.454635, 0.642951, 159.968, 
2019 Aug 19 (Mon) 6:30, 217.405, 307.457, -9.54081, 219.205, 310.003, -128.382, 219.336, 310.189, 111.553, 0.439115, 0.621003, 160.37, 
2019 Aug 19 (Mon) 7:00, 217.946, 308.222, -9.85575, 219.781, 310.817, -128.699, 219.919, 311.012, 111.236, 0.440457, 0.6229, 159.797, 
