Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 239.445, 338.627, -17.7162, 211.988, 299.785, -137.879, 212.909, 301.089, 102.466, 25.9077, 36.6391, -16.0334, 
2019 Aug 19 (Mon) 0:30, 233.496, 330.214, -18.2027, 206.006, 291.325, -138.514, 206.89, 292.577, 101.837, 25.9944, 36.7616, -15.427, 
2019 Aug 19 (Mon) 1:00, 225.468, 318.86, -14.37, 197.164, 278.82, -134.156, 198.06, 280.089, 106.206, 26.79, 37.8868, -15.6402, 
2019 Aug 19 (Mon) 1:30, 220.554, 311.91, -14.2753, 192.131, 271.701, -134.1, 193.003, 272.936, 106.267, 26.9289, 38.0832, -15.2481, 
2019 Aug 19 (Mon) 2:00, 220.952, 312.473, -17.3132, 193.039, 272.985, -137.65, 193.873, 274.166, 102.716, 26.4687, 37.4323, -14.6184, 
2019 Aug 19 (Mon) 2:30, 216.266, 305.846, -14.0738, 187.723, 265.467, -133.914, 188.576, 266.675, 106.459, 27.0681, 38.28, -14.931, 
2019 Aug 19 (Mon) 3:00, 215.973, 305.432, -13.1521, 187.293, 264.861, -132.833, 188.156, 266.083, 107.541, 27.2136, 38.4858, -15.0909, 
2019 Aug 19 (Mon) 3:30, 218.04, 308.355, -14.0899, 189.537, 268.032, -133.912, 190.398, 269.253, 106.459, 27.0206, 38.2129, -15.076, 
2019 Aug 19 (Mon) 4:00, 217.634, 307.781, -15.3021, 189.309, 267.709, -135.34, 190.153, 268.904, 105.03, 26.8509, 37.9729, -14.7896, 
2019 Aug 19 (Mon) 4:30, 222.438, 314.575, -16.4027, 194.395, 274.903, -136.566, 195.249, 276.112, 103.798, 26.5616, 37.5637, -14.9455, 
2019 Aug 19 (Mon) 5:00, 224.756, 317.854, -15.3293, 196.585, 278, -135.284, 197.464, 279.245, 105.078, 26.6614, 37.7048, -15.3742, 
2019 Aug 19 (Mon) 5:30, 233.471, 330.178, -14.4959, 205.357, 290.407, -134.218, 206.292, 291.731, 106.135, 26.5695, 37.5749, -16.2866, 
2019 Aug 19 (Mon) 6:00, 239.426, 338.599, -14.7262, 211.475, 299.059, -134.426, 212.438, 300.422, 105.92, 26.3841, 37.3128, -16.7388, 
