Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 217.844, 308.078, -9.87984, 221.947, 313.88, -128.237, 219.797, 310.84, 111.729, 1.03293, 1.46079, 88.2679, 
2019 Aug 19 (Mon) 0:30, 217.964, 308.248, -9.58006, 222.048, 314.024, -127.932, 219.891, 310.972, 112.035, 1.03399, 1.46229, 88.6596, 
2019 Aug 19 (Mon) 1:00, 221.117, 312.706, -9.51618, 225.306, 318.631, -127.851, 223.122, 315.542, 112.122, 1.05372, 1.49018, 88.696, 
2019 Aug 19 (Mon) 1:30, 221.506, 313.257, -9.30612, 225.693, 319.178, -127.636, 223.5, 316.077, 112.338, 1.05637, 1.49393, 88.9653, 
2019 Aug 19 (Mon) 2:00, 219.511, 310.435, -9.10647, 223.613, 316.236, -127.443, 221.431, 313.151, 112.528, 1.04413, 1.47663, 89.2569, 
2019 Aug 19 (Mon) 2:30, 221.922, 313.845, -9.13096, 226.11, 319.768, -127.456, 223.91, 316.656, 112.519, 1.05915, 1.49786, 89.1884, 
2019 Aug 19 (Mon) 3:00, 222.534, 314.711, -9.1764, 226.747, 320.668, -127.499, 224.543, 317.552, 112.477, 1.06292, 1.5032, 89.1199, 
2019 Aug 19 (Mon) 3:30, 221.794, 313.664, -9.20781, 225.983, 319.588, -127.535, 223.786, 316.481, 112.44, 1.05827, 1.49662, 89.0897, 
2019 Aug 19 (Mon) 4:00, 221.041, 312.599, -9.10861, 225.196, 318.476, -127.438, 223.003, 315.373, 112.536, 1.05367, 1.49012, 89.2308, 
2019 Aug 19 (Mon) 4:30, 219.987, 311.108, -9.23956, 224.116, 316.947, -127.576, 221.934, 313.862, 112.395, 1.04696, 1.48062, 89.0752, 
2019 Aug 19 (Mon) 5:00, 220.526, 311.871, -9.41855, 224.687, 317.756, -127.755, 222.505, 314.67, 112.217, 1.05013, 1.48511, 88.8326, 
2019 Aug 19 (Mon) 5:30, 220.503, 311.839, -9.86111, 224.698, 317.771, -128.205, 222.527, 314.7, 111.766, 1.04953, 1.48426, 88.2529, 
2019 Aug 19 (Mon) 6:00, 219.951, 311.057, -10.1089, 224.145, 316.989, -128.459, 221.984, 313.932, 111.51, 1.04583, 1.47903, 87.9359, 
2019 Aug 19 (Mon) 6:30, 215.356, 304.56, -9.99109, 219.381, 310.251, -128.363, 217.253, 307.243, 111.599, 1.01734, 1.43874, 88.1599, 
2019 Aug 19 (Mon) 7:00, 215.882, 305.303, -10.3214, 219.949, 311.055, -128.696, 217.825, 308.051, 111.267, 1.02027, 1.44288, 87.7172, 
2019 Aug 19 (Mon) 7:30, 214.662, 303.577, -10.5404, 218.702, 309.291, -128.925, 216.593, 306.308, 111.036, 1.01246, 1.43183, 87.4476, 
2019 Aug 19 (Mon) 8:00, 215.357, 304.561, -10.5123, 219.42, 310.307, -128.893, 217.305, 307.315, 111.069, 1.01681, 1.43799, 87.474, 
2019 Aug 19 (Mon) 8:30, 214.645, 303.554, -10.0849, 218.652, 309.221, -128.462, 216.533, 306.223, 111.499, 1.01283, 1.43235, 88.0476, 
2019 Aug 19 (Mon) 9:00, 225.101, 318.341, -3.7459, 225.101, 318.341, -123.746, 225.101, 318.341, 116.254, 1.51598e-07, 2.14392e-07, 25.9509, 
2019 Aug 19 (Mon) 9:30, 227.563, 321.823, -3.7848, 227.563, 321.823, -123.785, 227.563, 321.822, 116.215, 1.53219e-07, 2.16684e-07, 25.9838, 
2019 Aug 19 (Mon) 10:00, 229.55, 324.632, -3.69401, 229.55, 324.632, -123.694, 229.55, 324.632, 116.306, 1.54483e-07, 2.18472e-07, 26.1311, 
2019 Aug 19 (Mon) 10:30, 230.904, 326.548, -3.56844, 230.904, 326.548, -123.568, 230.904, 326.548, 116.432, 1.5532e-07, 2.19655e-07, 26.2921, 
2019 Aug 19 (Mon) 11:00, 229.466, 324.514, -3.5652, 229.466, 324.514, -123.565, 229.466, 324.514, 116.435, 1.54385e-07, 2.18333e-07, 26.2524, 
