Time, 11_EV, 15_EV, 16_EV, 17_EV, 18_EV, 20_EV, 21_EV, 26_EV, 27_EV, 31_EV, 32_EV, 34_EV, 38_EV, 39_EV, 3_EV, 41_EV, 48_EV, 4_EV, 50_EV, 51_EV, 53_EV, 54_EV, 55_EV, 56_EV, 58_EV, 5_EV, 61_EV, 62_EV, 64_EV, 65_EV, 66_EV, 6_EV, 7_EV, 8_EV, 
2019 Aug 19 (Mon) 18:00, 100, 100, 100, 100, 95.1717, 92.4513, 96.0745, 99.4643, 98.9206, 88.5894, 98.3583, 97.3842, 96.3961, 94.5384, 97.905, 100, 100, 100, 100, 94.1513, 100, 100, 92.148, 91.0082, 100, 100, 100, 81.8735, 92.3739, 98.0301, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 18:30, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 19:00, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 19:30, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 20:00, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 20:30, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 21:00, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 21:30, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 22:00, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 22:30, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 23:00, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 23:30, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
2019 Aug 20 (Tue) 0:00, 92.0513, 92.0513, 92.0513, 92.0513, 87.223, 84.5026, 88.1258, 91.5156, 90.9719, 80.6406, 90.4096, 89.4355, 88.4474, 86.5896, 89.9563, 92.0513, 92.0513, 92.0513, 92.0513, 86.2026, 92.0513, 92.0513, 84.1993, 83.0595, 92.0513, 92.0513, 92.0513, 73.9248, 84.4252, 90.0814, 92.0513, 92.0513, 92.0513, 92.0513, 
