Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 0.805149, 0.734977, 0.867022, 0.889384, 0.958939, 0.982217, 0.98228, 0.718615, 0.748849, 0.773173, 0.738917, 0.782577, 0.817409, 
2019 Aug 19 (Mon) 0:30, 0.805873, 0.73529, 0.868215, 0.890716, 0.960218, 0.983614, 0.983662, 0.718711, 0.748399, 0.772565, 0.73886, 0.782192, 0.817053, 
2019 Aug 19 (Mon) 1:00, 0.818867, 0.748042, 0.881427, 0.904001, 0.973599, 0.997024, 0.997099, 0.731363, 0.760678, 0.784734, 0.751419, 0.794543, 0.829471, 
2019 Aug 19 (Mon) 1:30, 0.820625, 0.749501, 0.883524, 0.906201, 0.975771, 0.999279, 0.999348, 0.732667, 0.761575, 0.78551, 0.752607, 0.795487, 0.830438, 
2019 Aug 19 (Mon) 2:00, 0.812586, 0.741298, 0.875714, 0.898457, 0.96792, 0.991501, 0.991537, 0.724353, 0.753058, 0.776935, 0.744221, 0.786978, 0.821909, 
2019 Aug 19 (Mon) 2:30, 0.822469, 0.751095, 0.88565, 0.908417, 0.977965, 1.00154, 1.0016, 0.734127, 0.762685, 0.786518, 0.753964, 0.796637, 0.831613, 
2019 Aug 19 (Mon) 3:00, 0.82495, 0.753606, 0.888086, 0.910839, 0.98042, 1.00398, 1.00405, 0.736662, 0.765255, 0.789094, 0.756513, 0.799208, 0.83419, 
2019 Aug 19 (Mon) 3:30, 0.821885, 0.750615, 0.884944, 0.907672, 0.977233, 1.00078, 1.00084, 0.733707, 0.762414, 0.786292, 0.753588, 0.796349, 0.831316, 
2019 Aug 19 (Mon) 4:00, 0.818868, 0.747505, 0.882052, 0.904813, 0.974327, 0.997913, 0.99796, 0.730536, 0.759123, 0.782965, 0.750382, 0.793064, 0.828027, 
2019 Aug 19 (Mon) 4:30, 0.814438, 0.743304, 0.87738, 0.900067, 0.969574, 0.993103, 0.993148, 0.726441, 0.755354, 0.779291, 0.746374, 0.78925, 0.824183, 
2019 Aug 19 (Mon) 5:00, 0.816515, 0.745589, 0.8792, 0.901815, 0.971372, 0.994833, 0.994899, 0.728851, 0.758041, 0.78206, 0.748867, 0.791912, 0.826837, 
