Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.989531, 0.985899, 0.987063, 0.998108
2019 Aug 19 (Mon) 0:30, 0.987485, 0.983055, 0.984347, 0.997984
2019 Aug 19 (Mon) 1:00, 0.995689, 0.993957, 0.994734, 0.998181
2019 Aug 19 (Mon) 1:30, 0.995508, 0.993659, 0.994464, 0.998118
2019 Aug 19 (Mon) 2:00, 0.988624, 0.984264, 0.985542, 0.997883
2019 Aug 19 (Mon) 2:30, 0.995558, 0.99368, 0.994491, 0.998072
2019 Aug 19 (Mon) 3:00, 0.996998, 0.995682, 0.996348, 0.998135
2019 Aug 19 (Mon) 3:30, 0.995654, 0.993832, 0.99463, 0.998096
2019 Aug 19 (Mon) 4:00, 0.993278, 0.990549, 0.991543, 0.997998
2019 Aug 19 (Mon) 4:30, 0.991181, 0.98777, 0.988892, 0.997979
2019 Aug 19 (Mon) 5:00, 0.993822, 0.991402, 0.992335, 0.998098
2019 Aug 19 (Mon) 5:30, 0.996023, 0.994484, 0.995214, 0.998284
2019 Aug 19 (Mon) 6:00, 0.996041, 0.994558, 0.995274, 0.998349
2019 Aug 19 (Mon) 6:30, 0.98217, 0.976464, 0.977946, 0.997978
2019 Aug 19 (Mon) 7:00, 0.987016, 0.982872, 0.984126, 0.998161
2019 Aug 19 (Mon) 7:30, 0.984988, 0.980412, 0.981736, 0.99817
2019 Aug 19 (Mon) 8:00, 0.986958, 0.982897, 0.984139, 0.998207
2019 Aug 19 (Mon) 8:30, 0.980489, 0.974398, 0.975934, 0.997968
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.946178
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.945903
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.945724
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.945622
2019 Aug 19 (Mon) 11:00, 0.956762, 0.95678, 0.956788, 0.945776
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.945753
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.945766
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.94593
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.945573
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.945688
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.946018
2019 Aug 19 (Mon) 14:30, 0.897797, 0.897825, 0.897847, 0.946173
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.945619
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.945803
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.945591
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.945865
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.945759
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.946033
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.946102
2019 Aug 19 (Mon) 18:30, 0.989463, 0.98434, 0.985244, 0.939844
2019 Aug 19 (Mon) 19:00, 0.987483, 0.981436, 0.982411, 0.939962
2019 Aug 19 (Mon) 19:30, 0.993565, 0.990507, 0.991212, 0.939686
2019 Aug 19 (Mon) 20:00, 0.995739, 0.993687, 0.994277, 0.939418
2019 Aug 19 (Mon) 20:30, 0.985921, 0.979054, 0.980092, 0.939985
2019 Aug 19 (Mon) 21:00, 0.991557, 0.987374, 0.988202, 0.939651
2019 Aug 19 (Mon) 21:30, 0.991821, 0.987651, 0.988486, 0.939512
2019 Aug 19 (Mon) 22:00, 0.993274, 0.989659, 0.990455, 0.939174
2019 Aug 19 (Mon) 22:30, 0.993768, 0.990293, 0.991084, 0.938962
2019 Aug 19 (Mon) 23:00, 0.994731, 0.991648, 0.992409, 0.93864
2019 Aug 19 (Mon) 23:30, 0.994445, 0.991022, 0.991834, 0.938409
2019 Aug 20 (Tue) 0:00, 0.997183, 0.995425, 0.996023, 0.937976
