Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 212.472, 300.48, -17.6304, 240.469, 340.064, -137.668, 185.205, 261.908, 102.099, 47.346, 66.9573, -107.309, 
2019 Aug 19 (Mon) 0:30, 150.456, 212.777, -19.9889, 150.469, 212.779, -139.831, 178.873, 252.952, 101.224, 28.2359, 39.9316, 107.292, 
2019 Aug 19 (Mon) 1:00, 197.802, 279.734, -13.8356, 139.408, 197.134, -134.164, 109.847, 155.327, 104.909, 78.3662, 110.827, -31.6841, 
2019 Aug 19 (Mon) 1:30, 163.39, 231.068, -13.8051, 104.633, 147.95, -135.584, 104.163, 147.287, 104.614, 58.7904, 83.1421, -11.2081, 
2019 Aug 19 (Mon) 2:00, 107.902, 152.596, -22.1241, 79.3717, 112.216, -147.757, 107.116, 151.465, 97.7149, 29.622, 41.8919, 51.4341, 
2019 Aug 19 (Mon) 2:30, 69.8143, 98.7322, -19.5185, 69.701, 98.536, -139.278, 129.143, 182.619, 105.857, 59.748, 84.4965, 111.901, 
2019 Aug 19 (Mon) 3:00, 68.2563, 96.5289, -16.4734, 68.253, 96.4921, -136.429, 98.7611, 139.65, 106.624, 30.7713, 43.5172, 113.419, 
2019 Aug 19 (Mon) 3:30, 101.41, 143.415, -15.3884, 71.6498, 101.293, -139.038, 71.5797, 101.198, 101.083, 30.153, 42.6428, -6.93671, 
2019 Aug 19 (Mon) 4:00, 101.719, 143.852, -18.3042, 72.9201, 103.087, -142.998, 72.8087, 102.935, 97.1852, 29.4746, 41.6834, -7.01979, 
2019 Aug 19 (Mon) 4:30, 107.818, 152.478, -20.086, 79.5333, 112.443, -144.883, 79.4149, 112.28, 95.2998, 29.128, 41.1932, -7.32039, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.259, 113.47, -141.072, 80.2635, 113.48, 98.9296, 1.25407e-05, 1.77352e-05, -125.522, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4522, 125.062, -136.807, 88.4559, 125.07, 103.194, 1.25459e-05, 1.77425e-05, -126.46, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0999, 134.465, -136.414, 95.1039, 134.474, 103.587, 1.24836e-05, 1.76545e-05, -126.997, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 1.19365e-05, 1.68808e-05, -126.84, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.002, -145.162, 114.575, 162.017, 94.8406, 1.20032e-05, 1.69751e-05, -127.528, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 1.18635e-05, 1.67776e-05, -128.017, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 1.19446e-05, 1.68923e-05, -127.942, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.18, 164.288, -149.672, 116.189, 164.303, 90.3306, 1.18548e-05, 1.67652e-05, -127.053, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 1.18856e-05, 1.68087e-05, -126.976, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 1.21449e-05, 1.71755e-05, -127.143, 
