Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 17:00, 225.678, 319.157, -5.01179, 225.678, 319.157, -125.012, 225.678, 319.157, 114.988, 7.3397e-08, 1.03799e-07, 50.9926, 
2019 Aug 19 (Mon) 17:30, 221.874, 313.777, -5.40251, 221.874, 313.777, -125.403, 221.874, 313.777, 114.597, 7.07389e-08, 1.0004e-07, 49.7847, 
2019 Aug 19 (Mon) 18:00, 219.615, 310.582, -5.884, 219.615, 310.582, -125.884, 219.615, 310.582, 114.116, 6.92929e-08, 9.79949e-08, 48.4906, 
2019 Aug 19 (Mon) 18:30, 216.773, 306.563, -7.46411, 218.514, 309.025, -126.287, 218.508, 309.017, 113.712, 0.0372354, 0.0526588, 114.111, 
2019 Aug 19 (Mon) 19:00, 215.613, 304.923, -7.4466, 217.333, 307.355, -126.275, 217.327, 307.346, 113.724, 0.0368347, 0.0520921, 112.312, 
2019 Aug 19 (Mon) 19:30, 220.997, 312.536, -6.60365, 220.997, 312.537, -126.604, 220.997, 312.536, 113.396, 7.05698e-08, 9.98008e-08, 46.962, 
2019 Aug 19 (Mon) 20:00, 223.161, 315.598, -6.45917, 221.33, 313.008, -127.658, 223.165, 315.603, 113.542, 0.0397216, 0.0561748, 0.652093, 
2019 Aug 19 (Mon) 20:30, 207.65, 293.661, -11.6635, 211.356, 298.902, -129.547, 213.252, 301.584, 111.581, 0.378778, 0.535673, -157.188, 
2019 Aug 19 (Mon) 21:00, 210.709, 297.987, -11.7978, 216.442, 306.095, -128.504, 216.526, 306.213, 111.493, 0.428095, 0.605417, -161.222, 
2019 Aug 19 (Mon) 21:30, 220.605, 311.982, -5.91399, 220.605, 311.983, -125.914, 220.605, 311.982, 114.086, 7.0017e-08, 9.9019e-08, 48.5058, 
2019 Aug 19 (Mon) 22:00, 220.683, 312.093, -6.61094, 216.961, 306.829, -128.91, 220.621, 312.006, 113.379, 0.303121, 0.428678, 89.7148, 
2019 Aug 19 (Mon) 22:30, 221.609, 313.402, -6.23848, 217.91, 308.172, -128.556, 221.55, 313.319, 113.751, 0.307516, 0.434894, 90.52, 
2019 Aug 19 (Mon) 23:00, 221.349, 313.035, -6.88802, 224.833, 317.962, -124.503, 223.169, 315.609, 114.287, 0.297226, 0.420341, -131.445, 
2019 Aug 19 (Mon) 23:30, 221.896, 313.809, -6.33362, 223.636, 316.269, -125.14, 221.922, 313.845, 113.69, 0.310051, 0.438479, -58.0727, 
2019 Aug 20 (Tue) 0:00, 225.565, 318.998, -5.90796, 219.782, 310.819, -129.413, 225.444, 318.826, 114.081, 0.689106, 0.974543, 83.5128, 
