Time, 10_EV, 11_EV, 12_EV, 13_EV, 14_EV, 15_EV, 16_EV, 18_EV, 19_EV, 1_EV, 21_EV, 23_EV, 24_EV, 25_EV, 26_EV, 27_EV, 28_EV, 2_EV, 30_EV, 31_EV, 32_EV, 34_EV, 35_EV, 37_EV, 38_EV, 39_EV, 40_EV, 41_EV, 42_EV, 43_EV, 45_EV, 46_EV, 47_EV, 48_EV, 49_EV, 4_EV, 50_EV, 51_EV, 52_EV, 53_EV, 54_EV, 56_EV, 57_EV, 60_EV, 61_EV, 62_EV, 63_EV, 64_EV, 65_EV, 66_EV, 6_EV, 7_EV, 8_EV, 9_EV, 
2019 Aug 19 (Mon) 6:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 6:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 7:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 7:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 8:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 8:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 9:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 9:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 10:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 10:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
