Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 17:00, 224.708, 317.785, -5.08526, 224.708, 317.786, -125.085, 224.708, 317.785, 114.915, 2.43747e-07, 3.44711e-07, -60.3066, 
2019 Aug 19 (Mon) 17:30, 220.747, 312.183, -5.46436, 220.747, 312.184, -125.464, 220.747, 312.183, 114.536, 2.38714e-07, 3.37593e-07, -60.6533, 
2019 Aug 19 (Mon) 18:00, 218.369, 308.821, -5.94791, 218.369, 308.821, -125.948, 218.369, 308.821, 114.052, 2.35601e-07, 3.3319e-07, -61.1548, 
2019 Aug 19 (Mon) 18:30, 215.467, 304.716, -7.52786, 217.167, 307.121, -126.361, 217.21, 307.182, 113.636, 0.0233188, 0.0329778, 164.083, 
2019 Aug 19 (Mon) 19:00, 214.273, 303.028, -7.50163, 215.951, 305.401, -126.341, 215.994, 305.461, 113.656, 0.0230104, 0.0325416, 164.098, 
2019 Aug 19 (Mon) 19:30, 219.722, 310.734, -6.70338, 219.722, 310.734, -126.703, 219.722, 310.734, 113.297, 2.37002e-07, 3.35171e-07, -62.052, 
2019 Aug 19 (Mon) 20:00, 221.992, 313.944, -6.57151, 220.146, 311.334, -127.76, 221.948, 313.882, 113.43, 0.0245721, 0.0347502, 43.7016, 
2019 Aug 19 (Mon) 20:30, 206.982, 292.717, -11.5924, 208.704, 295.152, -129.618, 211.299, 298.822, 111.203, 1.16105, 1.64197, -156.824, 
2019 Aug 19 (Mon) 21:00, 210.107, 297.137, -11.7466, 213.858, 302.441, -128.609, 214.7, 303.632, 111.096, 1.19862, 1.69511, -156.435, 
2019 Aug 19 (Mon) 21:30, 219.387, 310.26, -5.98578, 219.387, 310.26, -125.986, 219.387, 310.26, 114.014, 2.36843e-07, 3.34946e-07, -61.2231, 
2019 Aug 19 (Mon) 22:00, 218.96, 309.656, -6.59921, 214.942, 303.973, -129.23, 220.111, 311.283, 113.31, 0.336961, 0.476535, -47.1749, 
2019 Aug 19 (Mon) 22:30, 219.946, 311.051, -6.21859, 215.951, 305.4, -128.87, 221.112, 312.7, 113.691, 0.338601, 0.478855, -46.7674, 
2019 Aug 19 (Mon) 23:00, 218.452, 308.938, -7.26526, 224.865, 318.008, -124.704, 222.238, 314.293, 114.531, 0.881258, 1.24629, 16.1782, 
2019 Aug 19 (Mon) 23:30, 219.014, 309.733, -6.39758, 221.784, 313.649, -125.647, 222.059, 314.038, 113.817, 1.46, 2.06475, -39.2571, 
2019 Aug 20 (Tue) 0:00, 224.915, 318.078, -5.65978, 217.147, 307.092, -129.783, 225.713, 319.206, 113.887, 0.449231, 0.635308, -100.348, 
