Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 1.26071, 1.3513, 1.25996, 1.23024, 1.23087, 1.23096, 1.23104, 1.26029, 1.26262, 1.26477, 1.445, 1.48143, 1.48153, 
2019 Aug 19 (Mon) 0:30, 0.741789, 0.77672, 0.741732, 0.761767, 0.761811, 0.761853, 0.761894, 0.803852, 0.806383, 0.798552, 0.828186, 0.86342, 0.863465, 
2019 Aug 19 (Mon) 1:00, 1.99236, 1.99647, 1.99237, 2.02509, 2.08334, 2.08146, 2.08162, 2.02557, 2.0861, 2.1153, 2.03172, 2.06826, 2.10099, 
2019 Aug 19 (Mon) 1:30, 1.51205, 1.58131, 1.50812, 1.50688, 1.52593, 1.52603, 1.52613, 1.53359, 1.53369, 1.5338, 1.67106, 1.72628, 1.74767, 
2019 Aug 19 (Mon) 2:00, 0.739286, 0.795681, 0.733383, 0.732354, 0.736262, 0.745079, 0.768354, 0.76103, 0.761058, 0.761085, 0.818758, 0.818786, 0.818814, 
2019 Aug 19 (Mon) 2:30, 1.5528, 1.55355, 1.6007, 1.64963, 1.69947, 1.75012, 1.78533, 1.54049, 1.54059, 1.54068, 1.58876, 1.58886, 1.58896, 
2019 Aug 19 (Mon) 3:00, 0.784099, 0.797486, 0.784157, 0.784215, 0.784272, 0.784329, 0.784385, 0.784262, 0.784318, 0.784373, 0.832639, 0.832699, 0.832757, 
2019 Aug 19 (Mon) 3:30, 0.788867, 0.775753, 0.838521, 0.873724, 0.873777, 0.873832, 0.873889, 0.775804, 0.775853, 0.775903, 0.775801, 0.77585, 0.775899, 
2019 Aug 19 (Mon) 4:00, 0.77836, 0.765393, 0.827476, 0.878205, 0.930283, 0.965448, 0.965496, 0.765434, 0.765472, 0.765508, 0.765431, 0.765464, 0.765505, 
2019 Aug 19 (Mon) 4:30, 0.773983, 0.760933, 0.82315, 0.87394, 0.926086, 0.961233, 0.961278, 0.760971, 0.761008, 0.761041, 0.760965, 0.761001, 0.761034, 
2019 Aug 19 (Mon) 5:00, 3.84524e-05, 3.49867e-05, 4.55889e-05, 5.41755e-05, 5.90631e-05, 6.28179e-05, 6.38568e-05, 3.41092e-05, 3.80951e-05, 3.88685e-05, 3.95887e-05, 4.43682e-05, 4.43438e-05, 
2019 Aug 19 (Mon) 5:30, 3.03235e-05, 2.81339e-05, 3.8959e-05, 4.42159e-05, 4.8181e-05, 5.00881e-05, 5.11874e-05, 2.71157e-05, 3.19496e-05, 2.96344e-05, 3.36037e-05, 3.62088e-05, 3.64999e-05, 
2019 Aug 19 (Mon) 6:00, 3.31047e-05, 3.02938e-05, 3.99085e-05, 4.4344e-05, 4.8746e-05, 5.2052e-05, 5.38124e-05, 2.87508e-05, 3.12377e-05, 3.29998e-05, 3.43194e-05, 3.71461e-05, 3.5586e-05, 
2019 Aug 19 (Mon) 6:30, 5.91846e-05, 5.71668e-05, 7.09166e-05, 7.76845e-05, 8.35184e-05, 8.94402e-05, 8.99759e-05, 5.29838e-05, 5.91781e-05, 5.96901e-05, 6.39921e-05, 6.71902e-05, 6.82341e-05, 
2019 Aug 19 (Mon) 7:00, 5.55754e-05, 5.45524e-05, 6.92058e-05, 7.79706e-05, 8.38141e-05, 8.6791e-05, 8.70742e-05, 5.34263e-05, 5.5484e-05, 5.65221e-05, 6.1372e-05, 6.4569e-05, 6.5124e-05, 
2019 Aug 19 (Mon) 7:30, 5.79975e-05, 5.62538e-05, 6.77415e-05, 7.83764e-05, 8.44991e-05, 8.87373e-05, 9.06817e-05, 5.27582e-05, 5.7477e-05, 5.86595e-05, 6.30944e-05, 6.78586e-05, 7.0066e-05, 
2019 Aug 19 (Mon) 8:00, 5.76904e-05, 5.44991e-05, 6.83281e-05, 7.7799e-05, 8.32468e-05, 8.68718e-05, 8.80029e-05, 5.13201e-05, 5.52315e-05, 5.66251e-05, 5.99036e-05, 6.64302e-05, 6.57666e-05, 
2019 Aug 19 (Mon) 8:30, 5.70164e-05, 5.72545e-05, 7.16779e-05, 7.9618e-05, 8.57157e-05, 8.88437e-05, 8.96038e-05, 5.39478e-05, 5.94852e-05, 6.00261e-05, 6.4634e-05, 6.66632e-05, 7.01147e-05, 
2019 Aug 19 (Mon) 9:00, 5.83271e-05, 5.6359e-05, 6.86266e-05, 7.96103e-05, 8.4769e-05, 8.81309e-05, 9.01277e-05, 5.45284e-05, 5.91577e-05, 6.14537e-05, 6.36181e-05, 6.74717e-05, 7.02855e-05, 
2019 Aug 19 (Mon) 9:30, 5.17788e-05, 5.00553e-05, 6.51629e-05, 7.34225e-05, 7.76199e-05, 8.18308e-05, 8.41075e-05, 4.87432e-05, 5.29173e-05, 5.22714e-05, 5.67697e-05, 6.08953e-05, 6.08215e-05, 
2019 Aug 19 (Mon) 10:00, 4.18942e-05, 3.90091e-05, 4.90194e-05, 5.91736e-05, 6.2853e-05, 6.49493e-05, 6.72051e-05, 3.75742e-05, 4.14923e-05, 4.0283e-05, 4.29963e-05, 4.7473e-05, 4.91763e-05, 
2019 Aug 19 (Mon) 10:30, 3.00487e-05, 2.99232e-05, 3.94453e-05, 4.47717e-05, 4.8869e-05, 5.01262e-05, 5.24247e-05, 2.82257e-05, 3.16834e-05, 3.0712e-05, 3.35441e-05, 3.39627e-05, 3.64874e-05, 
2019 Aug 19 (Mon) 11:00, 4.49569e-05, 3.99852e-05, 5.12197e-05, 6.07685e-05, 6.67736e-05, 7.00529e-05, 7.11555e-05, 4.0703e-05, 4.25658e-05, 4.41786e-05, 4.51999e-05, 4.77091e-05, 4.93245e-05, 
2019 Aug 19 (Mon) 11:30, 4.22035e-05, 4.09041e-05, 5.26526e-05, 6.07307e-05, 6.47223e-05, 6.86418e-05, 7.14877e-05, 4.00892e-05, 4.27868e-05, 4.22356e-05, 4.44173e-05, 4.82503e-05, 5.0801e-05, 
2019 Aug 19 (Mon) 12:00, 4.54463e-05, 4.23516e-05, 5.63065e-05, 6.29061e-05, 6.90417e-05, 7.31395e-05, 7.33616e-05, 4.0031e-05, 4.30671e-05, 4.61961e-05, 4.84726e-05, 5.14418e-05, 5.16237e-05, 
2019 Aug 19 (Mon) 12:30, 5.33618e-05, 4.97663e-05, 6.35462e-05, 7.39246e-05, 8.04935e-05, 8.4393e-05, 8.54347e-05, 5.0515e-05, 5.14039e-05, 5.51209e-05, 5.49913e-05, 5.91161e-05, 6.05031e-05, 
2019 Aug 19 (Mon) 13:00, 3.37073e-05, 2.90007e-05, 4.05549e-05, 4.6808e-05, 5.07719e-05, 5.18193e-05, 5.21331e-05, 2.87724e-05, 3.27874e-05, 3.3051e-05, 3.49789e-05, 3.64506e-05, 3.64702e-05, 
2019 Aug 19 (Mon) 13:30, 3.82049e-05, 3.66274e-05, 4.73354e-05, 5.31862e-05, 5.90099e-05, 6.08389e-05, 6.25293e-05, 3.60918e-05, 3.81289e-05, 3.84248e-05, 4.18285e-05, 4.3349e-05, 4.52503e-05, 
2019 Aug 19 (Mon) 14:00, 5.49267e-05, 5.29628e-05, 6.59405e-05, 7.40888e-05, 8.33721e-05, 8.72827e-05, 8.74094e-05, 5.0956e-05, 5.5391e-05, 5.50325e-05, 5.86223e-05, 6.33373e-05, 6.302e-05, 
2019 Aug 19 (Mon) 14:30, 5.75338e-05, 5.41422e-05, 6.97331e-05, 7.81895e-05, 8.40268e-05, 8.78949e-05, 9.01203e-05, 5.39175e-05, 5.82289e-05, 6.10343e-05, 6.26598e-05, 6.64948e-05, 6.87836e-05, 
2019 Aug 19 (Mon) 15:00, 3.69684e-05, 3.41206e-05, 4.51555e-05, 5.10895e-05, 5.51994e-05, 5.91117e-05, 6.02073e-05, 3.32692e-05, 3.65973e-05, 3.71834e-05, 3.84586e-05, 4.12586e-05, 4.28492e-05, 
2019 Aug 19 (Mon) 15:30, 4.89429e-05, 4.86174e-05, 6.06419e-05, 7.14512e-05, 7.66494e-05, 8.01981e-05, 8.01921e-05, 4.54052e-05, 4.89663e-05, 5.18093e-05, 5.36732e-05, 5.72003e-05, 5.72132e-05, 
2019 Aug 19 (Mon) 16:00, 4.23145e-05, 3.70789e-05, 5.00204e-05, 5.7453e-05, 6.45095e-05, 6.7516e-05, 6.6068e-05, 3.70644e-05, 3.92896e-05, 4.14885e-05, 4.34498e-05, 4.64687e-05, 4.7349e-05, 
2019 Aug 19 (Mon) 16:30, 5.71552e-05, 5.27694e-05, 6.66412e-05, 7.84445e-05, 8.27663e-05, 8.72817e-05, 8.78537e-05, 5.13828e-05, 5.60922e-05, 5.72215e-05, 6.05343e-05, 6.55732e-05, 6.7208e-05, 
2019 Aug 19 (Mon) 17:00, 5.62587e-05, 5.44395e-05, 6.70331e-05, 7.7384e-05, 8.21173e-05, 8.68941e-05, 8.88621e-05, 5.29525e-05, 5.48503e-05, 5.679e-05, 5.92278e-05, 6.4559e-05, 6.70778e-05, 
2019 Aug 19 (Mon) 17:30, 5.75731e-05, 5.59078e-05, 6.91457e-05, 7.55719e-05, 8.18336e-05, 8.55345e-05, 8.47674e-05, 5.44538e-05, 5.9531e-05, 5.98323e-05, 6.45857e-05, 6.73643e-05, 7.01781e-05, 
2019 Aug 19 (Mon) 18:00, 5.55142e-05, 5.39599e-05, 6.19183e-05, 6.98872e-05, 7.33957e-05, 7.76414e-05, 7.76664e-05, 5.2253e-05, 5.70295e-05, 5.71021e-05, 6.15355e-05, 6.58194e-05, 6.59222e-05, 
2019 Aug 19 (Mon) 18:30, 0.732694, 0.732863, 0.732769, 0.732851, 0.732935, 0.733022, 0.733109, 0.73295, 0.733035, 0.733123, 0.732942, 0.733028, 0.733113, 
2019 Aug 19 (Mon) 19:00, 0.728724, 0.728871, 0.72879, 0.728862, 0.728932, 0.729008, 0.729086, 0.728947, 0.72902, 0.729094, 0.728939, 0.729013, 0.72909, 
2019 Aug 19 (Mon) 19:30, 5.82356e-05, 5.56561e-05, 6.95049e-05, 7.80398e-05, 8.30451e-05, 8.75889e-05, 9.0891e-05, 5.45629e-05, 6.07795e-05, 6.13718e-05, 6.55671e-05, 6.87391e-05, 6.97276e-05, 
2019 Aug 19 (Mon) 20:00, 0.748262, 0.748524, 0.748392, 0.748529, 0.748663, 0.748798, 0.748938, 0.748661, 0.748797, 0.748933, 0.748663, 0.7488, 0.748935, 
2019 Aug 19 (Mon) 20:30, 1.79019, 1.83036, 1.8721, 1.90569, 1.90585, 1.90602, 1.90618, 1.81303, 1.85161, 1.88477, 1.76376, 1.73622, 1.73637, 
2019 Aug 19 (Mon) 21:00, 2.13116, 2.11913, 2.23864, 2.27387, 2.27416, 2.27446, 2.27476, 2.13409, 2.18594, 2.22131, 2.03455, 2.01682, 2.01709, 
2019 Aug 19 (Mon) 21:30, 5.48946e-05, 5.54584e-05, 6.67811e-05, 7.50279e-05, 7.98737e-05, 8.14334e-05, 8.28225e-05, 5.37873e-05, 5.80298e-05, 6.00237e-05, 6.25144e-05, 6.67844e-05, 6.87817e-05, 
2019 Aug 19 (Mon) 22:00, 1.44875, 1.42916, 1.44891, 1.44906, 1.44922, 1.44938, 1.44954, 1.48, 1.56657, 1.60179, 1.46325, 1.49858, 1.49874, 
2019 Aug 19 (Mon) 22:30, 1.45658, 1.43676, 1.45672, 1.45686, 1.457, 1.45714, 1.45729, 1.48741, 1.57381, 1.60903, 1.47047, 1.50579, 1.50594, 
2019 Aug 19 (Mon) 23:00, 1.27437, 1.33398, 1.27248, 1.27258, 1.27268, 1.27279, 1.2729, 1.33434, 1.39495, 1.42726, 1.39423, 1.45475, 1.48697, 
2019 Aug 19 (Mon) 23:30, 0.694563, 0.755391, 0.713661, 0.720983, 0.743688, 0.743731, 0.743771, 0.769038, 0.825491, 0.848096, 0.767137, 0.78335, 0.776839, 
2019 Aug 20 (Tue) 0:00, 2.2395, 2.22623, 2.32497, 2.36018, 2.34248, 2.36194, 2.3621, 2.17671, 2.15899, 2.15914, 2.27641, 2.32727, 2.3626, 
