Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 225.499, 318.904, -5.90279, 221.773, 313.634, -128.295, 223.633, 316.265, 112.892, 0.200224, 0.28316, 31.1327, 
2019 Aug 19 (Mon) 0:30, 225.517, 318.929, -5.60085, 221.839, 313.727, -128.001, 223.677, 316.327, 113.191, 0.199881, 0.282674, 32.0458, 
2019 Aug 19 (Mon) 1:00, 228.75, 323.501, -5.46264, 224.969, 318.154, -127.9, 226.859, 320.827, 113.309, 0.208484, 0.294841, 32.7525, 
2019 Aug 19 (Mon) 1:30, 229.075, 323.961, -5.2437, 225.319, 318.649, -127.689, 227.198, 321.307, 113.524, 0.209112, 0.295729, 33.4413, 
2019 Aug 19 (Mon) 2:00, 226.943, 320.946, -5.09167, 223.294, 315.786, -127.518, 225.121, 318.37, 113.686, 0.203087, 0.287208, 33.7186, 
2019 Aug 19 (Mon) 2:30, 229.441, 324.478, -5.05897, 225.701, 319.19, -127.513, 227.574, 321.838, 113.704, 0.209899, 0.296841, 34.0307, 
2019 Aug 19 (Mon) 3:00, 230.089, 325.395, -5.0899, 226.32, 320.064, -127.55, 228.207, 322.733, 113.67, 0.211737, 0.299442, 33.9899, 
2019 Aug 19 (Mon) 3:30, 229.336, 324.331, -5.13874, 225.588, 319.029, -127.59, 227.464, 321.683, 113.626, 0.209706, 0.296569, 33.7806, 
2019 Aug 19 (Mon) 4:00, 228.523, 323.18, -5.05751, 224.819, 317.942, -127.502, 226.674, 320.565, 113.711, 0.207364, 0.293256, 33.9587, 
2019 Aug 19 (Mon) 4:30, 227.483, 321.709, -5.21318, 223.793, 316.491, -127.643, 225.64, 319.102, 113.563, 0.204706, 0.289498, 33.3975, 
2019 Aug 19 (Mon) 5:00, 228.104, 322.588, -5.37909, 224.363, 317.297, -127.811, 226.234, 319.943, 113.395, 0.206609, 0.29219, 32.9494, 
2019 Aug 19 (Mon) 5:30, 228.24, 322.78, -5.82155, 224.42, 317.378, -128.245, 226.328, 320.076, 112.957, 0.207536, 0.2935, 31.6271, 
2019 Aug 19 (Mon) 6:00, 227.758, 322.098, -6.08199, 223.914, 316.662, -128.494, 225.832, 319.374, 112.702, 0.206552, 0.292109, 30.8019, 
2019 Aug 19 (Mon) 6:30, 222.969, 315.325, -6.07252, 219.314, 310.156, -128.435, 221.138, 312.736, 112.739, 0.193748, 0.274001, 30.3721, 
2019 Aug 19 (Mon) 7:00, 223.626, 316.255, -6.38954, 219.895, 310.979, -128.751, 221.756, 313.61, 112.422, 0.195901, 0.277046, 29.4849, 
2019 Aug 19 (Mon) 7:30, 222.44, 314.578, -6.63666, 218.717, 309.313, -128.98, 220.572, 311.936, 112.184, 0.193135, 0.273133, 28.6211, 
2019 Aug 19 (Mon) 8:00, 223.15, 315.581, -6.59229, 219.406, 310.287, -128.944, 221.271, 312.925, 112.224, 0.194926, 0.275667, 28.828, 
2019 Aug 19 (Mon) 8:30, 222.267, 314.333, -6.1829, 218.622, 309.178, -128.535, 220.441, 311.75, 112.634, 0.192064, 0.27162, 29.967, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 5.26651e-08, 7.44796e-08, 137.628, 
