Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 225.821, 319.36, -5.89756, 219.726, 310.739, -128.255, 221.605, 313.397, 112.425, 0.861666, 1.21858, 178.164, 
2019 Aug 19 (Mon) 0:30, 225.87, 319.428, -5.58437, 219.82, 310.873, -127.95, 221.681, 313.505, 112.734, 0.862696, 1.22004, 178.509, 
2019 Aug 19 (Mon) 1:00, 229.243, 324.199, -5.46147, 223.041, 315.428, -127.864, 224.961, 318.143, 112.835, 0.877266, 1.24064, 178.495, 
2019 Aug 19 (Mon) 1:30, 229.603, 324.708, -5.23649, 223.419, 315.962, -127.648, 225.332, 318.667, 113.055, 0.879395, 1.24365, 178.726, 
2019 Aug 19 (Mon) 2:00, 227.403, 321.597, -5.06535, 221.357, 313.047, -127.459, 223.216, 315.676, 113.237, 0.870573, 1.23118, 179.013, 
2019 Aug 19 (Mon) 2:30, 230.002, 325.271, -5.04726, 223.827, 316.54, -127.468, 225.736, 319.239, 113.239, 0.881593, 1.24676, 178.917, 
2019 Aug 19 (Mon) 3:00, 230.673, 326.22, -5.08337, 224.458, 317.432, -127.51, 226.383, 320.154, 113.199, 0.884323, 1.25062, 178.847, 
2019 Aug 19 (Mon) 3:30, 229.885, 325.107, -5.1293, 223.704, 316.365, -127.547, 225.615, 319.068, 113.159, 0.880877, 1.24575, 178.832, 
2019 Aug 19 (Mon) 4:00, 229.048, 323.923, -5.03997, 222.923, 315.261, -127.451, 224.813, 317.934, 113.252, 0.877591, 1.2411, 178.968, 
2019 Aug 19 (Mon) 4:30, 227.952, 322.372, -5.1948, 221.858, 313.754, -127.591, 223.735, 316.41, 113.106, 0.872538, 1.23395, 178.846, 
2019 Aug 19 (Mon) 5:00, 228.581, 323.262, -5.37079, 222.427, 314.559, -127.769, 224.328, 317.248, 112.929, 0.874717, 1.23704, 178.624, 
2019 Aug 19 (Mon) 5:30, 228.678, 323.4, -5.83052, 222.446, 314.587, -128.218, 224.378, 317.319, 112.474, 0.873897, 1.23588, 178.113, 
2019 Aug 19 (Mon) 6:00, 228.151, 322.654, -6.09769, 221.905, 313.821, -128.473, 223.842, 316.561, 112.214, 0.870971, 1.23174, 177.841, 
2019 Aug 19 (Mon) 6:30, 223.175, 315.617, -6.05746, 217.19, 307.153, -128.384, 219.027, 309.751, 112.284, 0.850059, 1.20217, 178.104, 
2019 Aug 19 (Mon) 7:00, 223.827, 316.54, -6.39084, 217.759, 307.957, -128.715, 219.628, 310.601, 111.951, 0.851963, 1.20486, 177.705, 
2019 Aug 19 (Mon) 7:30, 222.571, 314.763, -6.63983, 216.53, 306.219, -128.946, 218.389, 308.849, 111.713, 0.846019, 1.19645, 177.483, 
2019 Aug 19 (Mon) 8:00, 223.313, 315.812, -6.59832, 217.239, 307.223, -128.913, 219.111, 309.87, 111.749, 0.84926, 1.20104, 177.497, 
2019 Aug 19 (Mon) 8:30, 222.435, 314.571, -6.16749, 216.471, 306.136, -128.483, 218.3, 308.723, 112.18, 0.846644, 1.19734, 178.015, 
2019 Aug 19 (Mon) 9:00, 225.101, 318.341, -3.7459, 225.101, 318.341, -123.746, 225.101, 318.341, 116.254, 9.2945e-08, 1.31444e-07, 111.03, 
2019 Aug 19 (Mon) 9:30, 227.563, 321.823, -3.7848, 227.563, 321.823, -123.785, 227.563, 321.822, 116.215, 9.4224e-08, 1.33253e-07, 110.874, 
2019 Aug 19 (Mon) 10:00, 229.55, 324.632, -3.69401, 229.55, 324.632, -123.694, 229.55, 324.632, 116.306, 9.52879e-08, 1.34757e-07, 110.905, 
2019 Aug 19 (Mon) 10:30, 230.904, 326.548, -3.56844, 230.904, 326.548, -123.568, 230.904, 326.548, 116.432, 9.60346e-08, 1.35813e-07, 111.008, 
2019 Aug 19 (Mon) 11:00, 229.466, 324.514, -3.5652, 229.466, 324.514, -123.565, 229.466, 324.514, 116.435, 9.52807e-08, 1.34747e-07, 111.073, 
2019 Aug 19 (Mon) 11:30, 229.282, 324.253, -3.69357, 229.282, 324.254, -123.694, 229.282, 324.253, 116.306, 9.51512e-08, 1.34564e-07, 110.918, 
2019 Aug 19 (Mon) 12:00, 228.995, 323.849, -3.74596, 228.996, 323.849, -123.746, 228.995, 323.848, 116.254, 9.4983e-08, 1.34326e-07, 110.861, 
2019 Aug 19 (Mon) 12:30, 227.578, 321.844, -3.7101, 227.578, 321.844, -123.71, 227.578, 321.844, 116.29, 9.42487e-08, 1.33288e-07, 110.972, 
2019 Aug 19 (Mon) 13:00, 230.313, 325.712, -3.89986, 230.313, 325.712, -123.9, 230.313, 325.712, 116.1, 9.56325e-08, 1.35245e-07, 110.616, 
2019 Aug 19 (Mon) 13:30, 229.955, 325.206, -3.67396, 229.955, 325.206, -123.674, 229.955, 325.206, 116.326, 9.55078e-08, 1.35068e-07, 110.916, 
2019 Aug 19 (Mon) 14:00, 227.246, 321.374, -3.55369, 227.246, 321.374, -123.554, 227.246, 321.374, 116.446, 9.41248e-08, 1.33113e-07, 111.18, 
2019 Aug 19 (Mon) 14:30, 226.205, 319.902, -3.42042, 226.205, 319.902, -123.42, 226.205, 319.902, 116.58, 9.36088e-08, 1.32383e-07, 111.399, 
2019 Aug 19 (Mon) 15:00, 229.922, 325.159, -3.8859, 229.922, 325.159, -123.886, 229.922, 325.158, 116.114, 9.54328e-08, 1.34962e-07, 110.647, 
2019 Aug 19 (Mon) 15:30, 227.64, 321.932, -4.06064, 227.64, 321.932, -124.061, 227.64, 321.932, 115.939, 9.41912e-08, 1.33206e-07, 110.523, 
2019 Aug 19 (Mon) 16:00, 228.543, 323.209, -4.40786, 228.543, 323.209, -124.408, 228.543, 323.209, 115.592, 9.45686e-08, 1.3374e-07, 110.048, 
2019 Aug 19 (Mon) 16:30, 225.402, 318.767, -4.56395, 225.402, 318.767, -124.564, 225.402, 318.767, 115.436, 9.28733e-08, 1.31343e-07, 109.977, 
2019 Aug 19 (Mon) 17:00, 224.708, 317.785, -5.08526, 224.708, 317.786, -125.085, 224.708, 317.785, 114.915, 9.23795e-08, 1.30644e-07, 109.338, 
2019 Aug 19 (Mon) 17:30, 220.747, 312.183, -5.46436, 220.747, 312.184, -125.464, 220.747, 312.183, 114.536, 9.02022e-08, 1.27565e-07, 109.028, 
2019 Aug 19 (Mon) 18:00, 218.369, 308.821, -5.94791, 218.369, 308.821, -125.948, 218.369, 308.821, 114.052, 8.88263e-08, 1.25619e-07, 108.507, 
2019 Aug 19 (Mon) 18:30, 205.165, 290.147, -13.2565, 207.69, 293.719, -131.983, 204.832, 289.676, 106.83, 0.603631, 0.853663, 100.681, 
2019 Aug 19 (Mon) 19:00, 204.104, 288.647, -13.2024, 206.601, 292.178, -131.933, 203.768, 288.172, 106.884, 0.59952, 0.847849, 100.791, 
2019 Aug 19 (Mon) 19:30, 207.246, 293.09, -13.6501, 209.846, 296.767, -132.371, 206.92, 292.63, 106.436, 0.611328, 0.864548, 100.083, 
2019 Aug 19 (Mon) 20:00, 209.27, 295.952, -13.5893, 211.915, 299.692, -132.3, 208.948, 295.498, 106.498, 0.619399, 0.875963, 100.097, 
2019 Aug 19 (Mon) 20:30, 203.558, 287.875, -13.0347, 206.033, 291.374, -131.766, 203.22, 287.397, 107.052, 0.597592, 0.845122, 101.036, 
2019 Aug 19 (Mon) 21:00, 206.614, 292.197, -13.209, 209.171, 295.813, -131.928, 206.284, 291.73, 106.878, 0.609412, 0.861839, 100.695, 
2019 Aug 19 (Mon) 21:30, 207.242, 293.084, -12.9737, 209.799, 296.701, -131.687, 206.912, 292.617, 107.115, 0.612202, 0.865785, 100.987, 
2019 Aug 19 (Mon) 22:00, 209.109, 295.725, -12.5572, 211.684, 299.367, -131.257, 208.781, 295.26, 107.534, 0.620142, 0.877013, 101.479, 
2019 Aug 19 (Mon) 22:30, 210.132, 297.172, -12.2247, 212.71, 300.818, -130.916, 209.804, 296.707, 107.868, 0.624642, 0.883378, 101.886, 
2019 Aug 19 (Mon) 23:00, 211.816, 299.553, -11.7703, 214.404, 303.212, -130.448, 211.488, 299.089, 108.326, 0.631938, 0.893695, 102.431, 
2019 Aug 19 (Mon) 23:30, 212.548, 300.588, -11.2307, 215.117, 304.221, -129.899, 212.218, 300.121, 108.868, 0.635608, 0.898885, 103.12, 
2019 Aug 20 (Tue) 0:00, 216.114, 305.631, -10.9029, 218.743, 309.349, -129.55, 215.79, 305.173, 109.199, 0.650206, 0.91953, 103.428, 
