Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 1.25755, 1.34792, 1.22616, 1.22697, 1.22706, 1.22715, 1.22723, 1.28216, 1.34149, 1.37219, 1.41277, 1.44559, 1.44569, 
2019 Aug 19 (Mon) 0:30, 1.25847, 1.34872, 1.22697, 1.22776, 1.22783, 1.22789, 1.22795, 1.28255, 1.34153, 1.37213, 1.41371, 1.44658, 1.44665, 
2019 Aug 19 (Mon) 1:00, 1.27764, 1.36802, 1.24613, 1.24696, 1.24706, 1.24716, 1.24725, 1.30165, 1.36046, 1.39106, 1.43316, 1.46611, 1.46623, 
2019 Aug 19 (Mon) 1:30, 1.28013, 1.37043, 1.24855, 1.24937, 1.24946, 1.24954, 1.24963, 1.30378, 1.36232, 1.39284, 1.43569, 1.46868, 1.46879, 
2019 Aug 19 (Mon) 2:00, 1.26815, 1.35826, 1.23649, 1.23727, 1.23732, 1.23737, 1.23741, 1.29143, 1.34978, 1.38023, 1.42353, 1.45652, 1.45657, 
2019 Aug 19 (Mon) 2:30, 1.28276, 1.373, 1.25112, 1.25193, 1.25201, 1.25209, 1.25216, 1.3061, 1.36442, 1.39489, 1.43835, 1.47139, 1.47148, 
2019 Aug 19 (Mon) 3:00, 1.28644, 1.37673, 1.25482, 1.25565, 1.25573, 1.25583, 1.25591, 1.30987, 1.36823, 1.39872, 1.44209, 1.47514, 1.47524, 
2019 Aug 19 (Mon) 3:30, 1.28193, 1.37221, 1.25032, 1.25114, 1.25122, 1.2513, 1.25138, 1.30541, 1.36383, 1.39432, 1.43752, 1.47054, 1.47064, 
2019 Aug 19 (Mon) 4:00, 1.27743, 1.36762, 1.24578, 1.24658, 1.24664, 1.24671, 1.24677, 1.30073, 1.35904, 1.38949, 1.43295, 1.46597, 1.46605, 
2019 Aug 19 (Mon) 4:30, 1.27096, 1.36115, 1.23935, 1.24014, 1.2402, 1.24026, 1.24033, 1.29447, 1.35298, 1.38347, 1.42638, 1.45936, 1.45943, 
2019 Aug 19 (Mon) 5:00, 1.27411, 1.36442, 1.24257, 1.24339, 1.24347, 1.24355, 1.24363, 1.29795, 1.35666, 1.38721, 1.42958, 1.46255, 1.46264, 
2019 Aug 19 (Mon) 5:30, 1.2737, 1.3642, 1.24232, 1.24317, 1.24329, 1.2434, 1.24352, 1.29831, 1.35756, 1.38826, 1.42916, 1.46205, 1.46219, 
2019 Aug 19 (Mon) 6:00, 1.27019, 1.36078, 1.2389, 1.23976, 1.23989, 1.24002, 1.24015, 1.29522, 1.35479, 1.38558, 1.4256, 1.45843, 1.45858, 
2019 Aug 19 (Mon) 6:30, 1.24237, 1.33267, 1.21102, 1.21179, 1.21185, 1.21192, 1.21198, 1.26714, 1.32668, 1.35741, 1.39736, 1.4301, 1.43017, 
2019 Aug 19 (Mon) 7:00, 1.24535, 1.33581, 1.21412, 1.21493, 1.21502, 1.21512, 1.21521, 1.2707, 1.33062, 1.36145, 1.40037, 1.43307, 1.43318, 
2019 Aug 19 (Mon) 7:30, 1.23778, 1.32828, 1.20664, 1.20744, 1.20754, 1.20764, 1.20773, 1.2635, 1.32372, 1.35462, 1.39269, 1.42532, 1.42543, 
2019 Aug 19 (Mon) 8:00, 1.24203, 1.33255, 1.21087, 1.21169, 1.2118, 1.2119, 1.212, 1.26771, 1.32787, 1.35877, 1.397, 1.42965, 1.42977, 
2019 Aug 19 (Mon) 8:30, 1.23799, 1.32829, 1.20667, 1.20744, 1.2075, 1.20756, 1.20762, 1.26292, 1.32258, 1.35334, 1.39291, 1.42562, 1.42569, 
2019 Aug 19 (Mon) 9:00, 5.79258e-05, 5.64733e-05, 6.83146e-05, 7.87258e-05, 8.41836e-05, 8.728e-05, 8.95437e-05, 5.36109e-05, 5.74913e-05, 6.08555e-05, 6.3022e-05, 6.69142e-05, 6.94633e-05, 
2019 Aug 19 (Mon) 9:30, 5.10908e-05, 4.89375e-05, 6.42486e-05, 7.27291e-05, 8.02751e-05, 8.09855e-05, 8.38229e-05, 4.76116e-05, 5.17346e-05, 5.22534e-05, 5.55779e-05, 6.02886e-05, 6.02702e-05, 
2019 Aug 19 (Mon) 10:00, 4.14972e-05, 3.8666e-05, 5.17475e-05, 5.82284e-05, 6.25489e-05, 6.70461e-05, 6.6398e-05, 3.67112e-05, 4.11555e-05, 4.28519e-05, 4.19257e-05, 4.63682e-05, 4.80529e-05, 
2019 Aug 19 (Mon) 10:30, 3.21286e-05, 2.93146e-05, 3.8778e-05, 4.33074e-05, 4.85145e-05, 4.89878e-05, 5.10013e-05, 2.76561e-05, 3.10108e-05, 3.06889e-05, 3.29147e-05, 3.65161e-05, 3.58999e-05, 
2019 Aug 19 (Mon) 11:00, 4.37536e-05, 3.97029e-05, 5.44754e-05, 6.06308e-05, 6.64408e-05, 6.93929e-05, 6.99848e-05, 3.95533e-05, 4.24767e-05, 4.33585e-05, 4.46456e-05, 5.05969e-05, 5.1956e-05, 
2019 Aug 19 (Mon) 11:30, 4.47737e-05, 4.02954e-05, 5.1531e-05, 5.9549e-05, 6.71153e-05, 7.03984e-05, 7.1116e-05, 3.83889e-05, 4.16967e-05, 4.53723e-05, 4.70143e-05, 4.97787e-05, 4.96884e-05, 
2019 Aug 19 (Mon) 12:00, 4.42623e-05, 4.1725e-05, 5.47892e-05, 6.17827e-05, 6.87032e-05, 7.14437e-05, 7.22093e-05, 4.24224e-05, 4.53924e-05, 4.55923e-05, 4.81083e-05, 5.08248e-05, 5.18614e-05, 
2019 Aug 19 (Mon) 12:30, 5.21569e-05, 4.83558e-05, 6.29535e-05, 7.33074e-05, 7.87756e-05, 8.32175e-05, 8.40504e-05, 4.96109e-05, 5.37521e-05, 5.39367e-05, 5.78967e-05, 5.9383e-05, 6.22717e-05, 
2019 Aug 19 (Mon) 13:00, 3.19196e-05, 3.09309e-05, 4.03898e-05, 4.60892e-05, 4.90782e-05, 5.12733e-05, 5.13365e-05, 2.82343e-05, 3.21505e-05, 3.26399e-05, 3.45447e-05, 3.5694e-05, 3.5931e-05, 
2019 Aug 19 (Mon) 13:30, 3.699e-05, 3.62303e-05, 4.696e-05, 5.28856e-05, 5.83983e-05, 6.05795e-05, 6.14637e-05, 3.48487e-05, 3.64666e-05, 3.78509e-05, 4.09306e-05, 4.27563e-05, 4.41458e-05, 
2019 Aug 19 (Mon) 14:00, 5.37467e-05, 5.20692e-05, 6.60967e-05, 7.43106e-05, 8.16451e-05, 8.71849e-05, 8.68426e-05, 5.00681e-05, 5.47773e-05, 5.45191e-05, 5.80379e-05, 6.24636e-05, 6.56121e-05, 
2019 Aug 19 (Mon) 14:30, 5.68912e-05, 5.43105e-05, 6.90705e-05, 7.78591e-05, 8.3961e-05, 8.70455e-05, 8.95385e-05, 5.38004e-05, 5.7628e-05, 5.99033e-05, 6.14873e-05, 6.59142e-05, 6.87104e-05, 
2019 Aug 19 (Mon) 15:00, 3.63087e-05, 3.3464e-05, 4.39826e-05, 5.04821e-05, 5.4603e-05, 5.79225e-05, 5.93105e-05, 3.26491e-05, 3.54452e-05, 3.73359e-05, 3.72705e-05, 4.11527e-05, 4.17377e-05, 
2019 Aug 19 (Mon) 15:30, 5.1482e-05, 4.82113e-05, 6.05337e-05, 7.05727e-05, 7.57559e-05, 7.91119e-05, 8.16676e-05, 4.53413e-05, 4.89589e-05, 5.15051e-05, 5.30674e-05, 5.6128e-05, 5.92454e-05, 
