Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 156.243, 220.961, -18.8085, 212.714, 300.811, -137.6, 184.732, 261.239, 102.018, 49.4103, 69.8767, -164.594, 
2019 Aug 19 (Mon) 0:30, 150.3, 212.556, -19.9579, 206.705, 292.313, -138.231, 178.731, 252.752, 101.18, 49.4655, 69.9548, -163.974, 
2019 Aug 19 (Mon) 1:00, 139.526, 197.319, -14.0251, 197.87, 279.818, -133.867, 169.011, 239.004, 106.216, 50.9569, 72.064, -163.838, 
2019 Aug 19 (Mon) 1:30, 134.278, 189.898, -14.1361, 192.82, 272.675, -133.807, 163.858, 231.717, 106.214, 51.1418, 72.3254, -163.402, 
2019 Aug 19 (Mon) 2:00, 136.51, 193.055, -19.3318, 193.7, 273.921, -137.357, 165.334, 233.804, 101.986, 50.1918, 70.9819, -162.992, 
2019 Aug 19 (Mon) 2:30, 129.641, 183.34, -14.0378, 188.398, 266.422, -133.618, 159.327, 225.31, 106.376, 51.3398, 72.6055, -163.039, 
2019 Aug 19 (Mon) 3:00, 128.874, 182.255, -12.4251, 187.975, 265.826, -132.536, 158.75, 224.495, 107.673, 51.6339, 73.0214, -163.132, 
2019 Aug 19 (Mon) 3:30, 131.524, 186.003, -13.9597, 190.218, 268.996, -133.617, 161.181, 227.931, 106.404, 51.2789, 72.5193, -163.198, 
2019 Aug 19 (Mon) 4:00, 131.761, 186.338, -16.1029, 189.977, 268.654, -135.045, 161.15, 227.886, 104.686, 50.9186, 72.0097, -162.994, 
2019 Aug 19 (Mon) 4:30, 137.485, 194.433, -17.6783, 195.071, 275.858, -136.275, 166.537, 235.505, 103.301, 50.4181, 71.3019, -163.267, 
2019 Aug 19 (Mon) 5:00, 139.292, 196.988, -15.703, 197.279, 278.981, -134.994, 168.577, 238.39, 104.863, 50.6751, 71.6654, -163.636, 
2019 Aug 19 (Mon) 5:30, 148.065, 209.395, -13.8305, 206.092, 291.446, -133.935, 177.396, 250.864, 106.243, 50.666, 71.6526, -164.552, 
2019 Aug 19 (Mon) 6:00, 154.494, 218.488, -13.9348, 212.23, 300.127, -134.147, 183.681, 259.752, 106.068, 50.4043, 71.2825, -165.066, 
2019 Aug 19 (Mon) 6:30, 166.477, 235.435, -22.5715, 221.354, 313.033, -140.565, 194.107, 274.5, 98.6935, 48.2518, 68.2384, -164.825, 
2019 Aug 19 (Mon) 7:00, 170.676, 241.373, -20.3053, 226.084, 319.722, -139.048, 198.617, 280.878, 100.524, 48.4959, 68.5836, -165.507, 
2019 Aug 19 (Mon) 7:30, 178.644, 252.641, -21.3642, 233.375, 330.034, -140.019, 206.233, 291.649, 99.5026, 47.9316, 67.7856, -165.959, 
2019 Aug 19 (Mon) 8:00, 175.866, 248.713, -20.3844, 231.024, 326.708, -139.235, 203.684, 288.043, 100.375, 48.253, 68.2401, -165.901, 
2019 Aug 19 (Mon) 8:30, 170.595, 241.258, -23.2906, 225.046, 318.256, -141.204, 198.001, 280.008, 98.0117, 47.9237, 67.7743, -165.019, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 4.08725e-06, 5.78024e-06, 54.1341, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 4.15872e-06, 5.88132e-06, 54.0396, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 4.21731e-06, 5.96418e-06, 54.1609, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8694, 131.31, -136.329, 92.8732, 131.319, 103.672, 4.25785e-06, 6.02151e-06, 54.3473, 
2019 Aug 19 (Mon) 11:00, 96.829, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 4.21532e-06, 5.96136e-06, 54.37, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 4.20955e-06, 5.9532e-06, 54.1667, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 4.20088e-06, 5.94094e-06, 54.0832, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 4.15947e-06, 5.88238e-06, 54.1613, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 4.23925e-06, 5.9952e-06, 53.8241, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 4.22944e-06, 5.98134e-06, 54.1899, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 4.15037e-06, 5.86951e-06, 54.4147, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.794, -149.521, 105.236, 148.81, 90.482, 4.12037e-06, 5.82708e-06, 54.6421, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 4.2277e-06, 5.97887e-06, 53.849, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 4.16016e-06, 5.88335e-06, 53.6005, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 4.18528e-06, 5.91888e-06, 53.0318, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 4.09289e-06, 5.78821e-06, 52.8197, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 4.0709e-06, 5.75713e-06, 51.9938, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 3.95533e-06, 5.59368e-06, 51.4472, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 3.88568e-06, 5.49518e-06, 50.7118, 
2019 Aug 19 (Mon) 18:30, 335.488, 474.451, -24.3433, 310.669, 439.349, -144.431, 336.824, 476.339, 95.6407, 25.6195, 36.2315, 39.2003, 
2019 Aug 19 (Mon) 19:00, 337.259, 476.956, -25.2994, 312.686, 442.202, -145.47, 338.598, 478.848, 94.6841, 25.4116, 35.9374, 39.3071, 
2019 Aug 19 (Mon) 19:30, 337.464, 477.247, -22.027, 312.209, 441.525, -141.867, 338.824, 479.165, 97.9572, 26.0203, 36.7982, 38.5347, 
2019 Aug 19 (Mon) 20:00, 331.897, 469.373, -20.3804, 306.227, 433.063, -140.082, 333.243, 471.271, 99.6052, 26.4269, 37.3732, 38.5915, 
2019 Aug 19 (Mon) 20:30, 335.839, 474.948, -26.0109, 311.402, 440.388, -146.262, 337.168, 476.826, 93.9726, 25.3092, 35.7927, 39.5837, 
2019 Aug 19 (Mon) 21:00, 331.091, 468.233, -23.201, 305.946, 432.669, -143.202, 332.416, 470.105, 96.784, 25.9087, 36.6404, 39.247, 
2019 Aug 19 (Mon) 21:30, 325.415, 460.206, -23.0231, 300.123, 424.434, -143.044, 326.717, 462.045, 96.9629, 26.0412, 36.8278, 39.6082, 
2019 Aug 19 (Mon) 22:00, 313.518, 443.382, -22.0295, 287.797, 407.002, -142.028, 314.774, 445.154, 97.9587, 26.428, 37.3748, 40.234, 
2019 Aug 19 (Mon) 22:30, 305.113, 431.495, -21.6304, 279.152, 394.776, -141.646, 306.334, 433.217, 98.3593, 26.6441, 37.6805, 40.7432, 
2019 Aug 19 (Mon) 23:00, 292.914, 414.243, -20.7926, 266.56, 376.967, -140.805, 294.085, 415.894, 99.1993, 26.9984, 38.1816, 41.4349, 
2019 Aug 19 (Mon) 23:30, 281.35, 397.889, -21.0162, 254.822, 360.366, -141.154, 282.467, 399.464, 98.9772, 27.1635, 38.415, 42.2801, 
2019 Aug 20 (Tue) 0:00, 267.145, 377.801, -17.9025, 239.792, 339.107, -137.76, 268.208, 379.295, 102.095, 27.9025, 39.46, 42.7415, 
