Time, 10_EV, 13_EV, 17_EV, 19_EV, 24_EV, 25_EV, 28_EV, 29_EV, 2_EV, 3_EV, 48_EV, 49_EV, 53_EV, 58_EV, 60_EV, 64_EV, 66_EV, 
2019 Aug 19 (Mon) 15:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 15:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 16:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 16:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 17:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 17:30, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 18:00, 97.0756, 96.1754, 94.9102, 96.8542, 88.5119, 100, 91.5087, 100, 100, 87.1611, 100, 100, 98.6111, 100, 91.2995, 100, 95.7331, 
2019 Aug 19 (Mon) 18:30, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 19:00, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 19:30, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 20:00, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 20:30, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 21:00, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 21:30, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 22:00, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 22:30, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 23:00, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 19 (Mon) 23:30, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
2019 Aug 20 (Tue) 0:00, 89.1269, 88.2266, 86.9614, 88.9055, 80.5631, 92.0513, 83.56, 92.0513, 92.0513, 79.2124, 92.0513, 92.0513, 90.6624, 92.0513, 83.3508, 92.0513, 87.7844, 
