Time, 10 (2), , , , , , , 13 (5), , , , , , , 17 (9), , , , , , , 19 (11), , , , , , , 24 (17), , , , , , , 25 (18), , , , , , , 28 (21), , , , , , , 29 (22), , , , , , , 2 (12), , , , , , , 3 (23), , , , , , , 48 (43), , , , , , , 49 (44), , , , , , , 53 (49), , , , , , , 58 (54), , , , , , , 60 (57), , , , , , , 64 (61), , , , , , , 66 (63), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 5:00, 218.549, 0, 0, 97.0756, 0, 0, 0, 222.605, 0, 0, 96.1754, 0, 0, 0, 221.929, 0, 0, 94.9102, 0, 0, 0, 220.662, 0, 0, 96.8542, 0, 0, 0, 220.936, 0, 0, 88.5119, 0, 0, 0, 228.116, 0, 0, 100, 0, 0, 0, 220.431, 0, 0, 91.5087, 0, 0, 0, 228.268, 0, 0, 100, 0, 0, 0, 225.551, 0, 0, 100, 0, 0, 0, 219.243, 0, 0, 87.1611, 0, 0, 0, 222.261, 0, 0, 100, 0, 0, 0, 225.833, 0, 0, 100, 0, 0, 0, 227.7, 0, 0, 98.6111, 0, 0, 0, 226.337, 0, 0, 100, 0, 0, 0, 218.872, 0, 0, 91.2995, 0, 0, 0, 226.587, 0, 0, 100, 0, 0, 0, 218.127, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 218.528, 0, 0, 97.0756, 0, 0, 0, 222.659, 0, 0, 96.1754, 0, 0, 0, 221.959, 0, 0, 94.9102, 0, 0, 0, 220.645, 0, 0, 96.8542, 0, 0, 0, 220.958, 0, 0, 88.5119, 0, 0, 0, 228.182, 0, 0, 100, 0, 0, 0, 220.44, 0, 0, 91.5087, 0, 0, 0, 228.322, 0, 0, 100, 0, 0, 0, 225.58, 0, 0, 100, 0, 0, 0, 219.194, 0, 0, 87.1611, 0, 0, 0, 222.17, 0, 0, 100, 0, 0, 0, 225.876, 0, 0, 100, 0, 0, 0, 227.786, 0, 0, 98.6111, 0, 0, 0, 226.366, 0, 0, 100, 0, 0, 0, 218.867, 0, 0, 91.2995, 0, 0, 0, 226.609, 0, 0, 100, 0, 0, 0, 218.116, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 217.968, 0, 0, 97.0756, 0, 0, 0, 222.12, 0, 0, 96.1754, 0, 0, 0, 221.394, 0, 0, 94.9102, 0, 0, 0, 220.062, 0, 0, 96.8542, 0, 0, 0, 220.418, 0, 0, 88.5119, 0, 0, 0, 227.642, 0, 0, 100, 0, 0, 0, 219.886, 0, 0, 91.5087, 0, 0, 0, 227.766, 0, 0, 100, 0, 0, 0, 225.005, 0, 0, 100, 0, 0, 0, 218.603, 0, 0, 87.1611, 0, 0, 0, 221.53, 0, 0, 100, 0, 0, 0, 225.345, 0, 0, 100, 0, 0, 0, 227.268, 0, 0, 98.6111, 0, 0, 0, 225.819, 0, 0, 100, 0, 0, 0, 218.326, 0, 0, 91.2995, 0, 0, 0, 226.053, 0, 0, 100, 0, 0, 0, 217.57, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 213.307, 0, 0, 97.0756, 0, 0, 0, 217.257, 0, 0, 96.1754, 0, 0, 0, 216.436, 0, 0, 94.9102, 0, 0, 0, 215.186, 0, 0, 96.8542, 0, 0, 0, 215.702, 0, 0, 88.5119, 0, 0, 0, 222.708, 0, 0, 100, 0, 0, 0, 215.127, 0, 0, 91.5087, 0, 0, 0, 222.77, 0, 0, 100, 0, 0, 0, 219.965, 0, 0, 100, 0, 0, 0, 213.825, 0, 0, 87.1611, 0, 0, 0, 216.528, 0, 0, 100, 0, 0, 0, 220.604, 0, 0, 100, 0, 0, 0, 222.431, 0, 0, 98.6111, 0, 0, 0, 221.009, 0, 0, 100, 0, 0, 0, 213.738, 0, 0, 91.2995, 0, 0, 0, 221.21, 0, 0, 100, 0, 0, 0, 212.974, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 213.84, 0, 0, 97.0756, 0, 0, 0, 217.865, 0, 0, 96.1754, 0, 0, 0, 217.038, 0, 0, 94.9102, 0, 0, 0, 215.747, 0, 0, 96.8542, 0, 0, 0, 216.271, 0, 0, 88.5119, 0, 0, 0, 223.333, 0, 0, 100, 0, 0, 0, 215.692, 0, 0, 91.5087, 0, 0, 0, 223.393, 0, 0, 100, 0, 0, 0, 220.576, 0, 0, 100, 0, 0, 0, 214.352, 0, 0, 87.1611, 0, 0, 0, 217.053, 0, 0, 100, 0, 0, 0, 221.191, 0, 0, 100, 0, 0, 0, 223.058, 0, 0, 98.6111, 0, 0, 0, 221.594, 0, 0, 100, 0, 0, 0, 214.275, 0, 0, 91.2995, 0, 0, 0, 221.793, 0, 0, 100, 0, 0, 0, 213.507, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 212.602, 0, 0, 97.0756, 0, 0, 0, 216.613, 0, 0, 96.1754, 0, 0, 0, 215.748, 0, 0, 94.9102, 0, 0, 0, 214.454, 0, 0, 96.8542, 0, 0, 0, 215.043, 0, 0, 88.5119, 0, 0, 0, 222.069, 0, 0, 100, 0, 0, 0, 214.444, 0, 0, 91.5087, 0, 0, 0, 222.106, 0, 0, 100, 0, 0, 0, 219.265, 0, 0, 100, 0, 0, 0, 213.068, 0, 0, 87.1611, 0, 0, 0, 215.687, 0, 0, 100, 0, 0, 0, 219.967, 0, 0, 100, 0, 0, 0, 221.831, 0, 0, 98.6111, 0, 0, 0, 220.345, 0, 0, 100, 0, 0, 0, 213.065, 0, 0, 91.2995, 0, 0, 0, 220.53, 0, 0, 100, 0, 0, 0, 212.292, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 213.308, 0, 0, 97.0756, 0, 0, 0, 217.343, 0, 0, 96.1754, 0, 0, 0, 216.494, 0, 0, 94.9102, 0, 0, 0, 215.192, 0, 0, 96.8542, 0, 0, 0, 215.753, 0, 0, 88.5119, 0, 0, 0, 222.808, 0, 0, 100, 0, 0, 0, 215.162, 0, 0, 91.5087, 0, 0, 0, 222.856, 0, 0, 100, 0, 0, 0, 220.023, 0, 0, 100, 0, 0, 0, 213.794, 0, 0, 87.1611, 0, 0, 0, 216.452, 0, 0, 100, 0, 0, 0, 220.679, 0, 0, 100, 0, 0, 0, 222.553, 0, 0, 98.6111, 0, 0, 0, 221.068, 0, 0, 100, 0, 0, 0, 213.758, 0, 0, 91.2995, 0, 0, 0, 221.26, 0, 0, 100, 0, 0, 0, 212.987, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 212.586, 0, 0, 97.0756, 0, 0, 0, 216.523, 0, 0, 96.1754, 0, 0, 0, 215.682, 0, 0, 94.9102, 0, 0, 0, 214.433, 0, 0, 96.8542, 0, 0, 0, 214.983, 0, 0, 88.5119, 0, 0, 0, 221.966, 0, 0, 100, 0, 0, 0, 214.399, 0, 0, 91.5087, 0, 0, 0, 222.016, 0, 0, 100, 0, 0, 0, 219.198, 0, 0, 100, 0, 0, 0, 213.079, 0, 0, 87.1611, 0, 0, 0, 215.738, 0, 0, 100, 0, 0, 0, 219.887, 0, 0, 100, 0, 0, 0, 221.709, 0, 0, 98.6111, 0, 0, 0, 220.278, 0, 0, 100, 0, 0, 0, 213.032, 0, 0, 91.2995, 0, 0, 0, 220.471, 0, 0, 100, 0, 0, 0, 212.265, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 224.681, 0, 0, 97.0756, 0, 0, 0, 224.683, 0, 0, 96.1754, 0, 0, 0, 224.135, 0, 0, 94.9102, 0, 0, 0, 224.135, 0, 0, 96.8542, 0, 0, 0, 224.956, 0, 0, 88.5119, 0, 0, 0, 224.956, 0, 0, 100, 0, 0, 0, 224.681, 0, 0, 91.5087, 0, 0, 0, 224.681, 0, 0, 100, 0, 0, 0, 224.135, 0, 0, 100, 0, 0, 0, 224.136, 0, 0, 87.1611, 0, 0, 0, 223.315, 0, 0, 100, 0, 0, 0, 225.369, 0, 0, 100, 0, 0, 0, 225.369, 0, 0, 98.6111, 0, 0, 0, 225.093, 0, 0, 100, 0, 0, 0, 225.093, 0, 0, 91.2995, 0, 0, 0, 224.955, 0, 0, 100, 0, 0, 0, 224.956, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 227.149, 0, 0, 97.0756, 0, 0, 0, 227.151, 0, 0, 96.1754, 0, 0, 0, 226.65, 0, 0, 94.9102, 0, 0, 0, 226.649, 0, 0, 96.8542, 0, 0, 0, 227.4, 0, 0, 88.5119, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 227.149, 0, 0, 91.5087, 0, 0, 0, 227.149, 0, 0, 100, 0, 0, 0, 226.65, 0, 0, 100, 0, 0, 0, 226.65, 0, 0, 87.1611, 0, 0, 0, 225.899, 0, 0, 100, 0, 0, 0, 227.777, 0, 0, 100, 0, 0, 0, 227.777, 0, 0, 98.6111, 0, 0, 0, 227.525, 0, 0, 100, 0, 0, 0, 227.526, 0, 0, 91.2995, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 95.7331, 0, 0, 0, 
