Time, 1 (House 1), House 1 Magnitude, House 1 Phase, 10 (House 2), House 2 Magnitude, House 2 Phase, 11 (House 3), House 3 Magnitude, House 3 Phase, 12 (House 4), House 4 Magnitude, House 4 Phase, 13 (House 5), House 5 Magnitude, House 5 Phase, 14 (House 6), House 6 Magnitude, House 6 Phase, 15 (House 7), House 7 Magnitude, House 7 Phase, 16 (House 8), House 8 Magnitude, House 8 Phase, 17 (House 9), House 9 Magnitude, House 9 Phase, 18 (House 10), House 10 Magnitude, House 10 Phase, 19 (House 11), House 11 Magnitude, House 11 Phase, 2 (House 12), House 12 Magnitude, House 12 Phase, 20 (House 13), House 13 Magnitude, House 13 Phase, 21 (House 14), House 14 Magnitude, House 14 Phase, 22 (House 15), House 15 Magnitude, House 15 Phase, 23 (House 16), House 16 Magnitude, House 16 Phase, 24 (House 17), House 17 Magnitude, House 17 Phase, 25 (House 18), House 18 Magnitude, House 18 Phase, 26 (House 19), House 19 Magnitude, House 19 Phase, 27 (House 20), House 20 Magnitude, House 20 Phase, 28 (House 21), House 21 Magnitude, House 21 Phase, 29 (House 22), House 22 Magnitude, House 22 Phase, 3 (House 23), House 23 Magnitude, House 23 Phase, 30 (House 24), House 24 Magnitude, House 24 Phase, 31 (House 25), House 25 Magnitude, House 25 Phase, 32 (House 26), House 26 Magnitude, House 26 Phase, 33 (House 27), House 27 Magnitude, House 27 Phase, 34 (House 28), House 28 Magnitude, House 28 Phase, 35 (House 29), House 29 Magnitude, House 29 Phase, 36 (House 30), House 30 Magnitude, House 30 Phase, 37 (House 31), House 31 Magnitude, House 31 Phase, 38 (House 32), House 32 Magnitude, House 32 Phase, 39 (House 33), House 33 Magnitude, House 33 Phase, 4 (House 34), House 34 Magnitude, House 34 Phase, 40 (House 35), House 35 Magnitude, House 35 Phase, 41 (House 36), House 36 Magnitude, House 36 Phase, 42 (House 37), House 37 Magnitude, House 37 Phase, 43 (House 38), House 38 Magnitude, House 38 Phase, 44 (House 39), House 39 Magnitude, House 39 Phase, 45 (House 40), House 40 Magnitude, House 40 Phase, 46 (House 41), House 41 Magnitude, House 41 Phase, 47 (House 42), House 42 Magnitude, House 42 Phase, 48 (House 43), House 43 Magnitude, House 43 Phase, 49 (House 44), House 44 Magnitude, House 44 Phase, 5 (House 45), House 45 Magnitude, House 45 Phase, 50 (House 46), House 46 Magnitude, House 46 Phase, 51 (House 47), House 47 Magnitude, House 47 Phase, 52 (House 48), House 48 Magnitude, House 48 Phase, 53 (House 49), House 49 Magnitude, House 49 Phase, 54 (House 50), House 50 Magnitude, House 50 Phase, 55 (House 51), House 51 Magnitude, House 51 Phase, 56 (House 52), House 52 Magnitude, House 52 Phase, 57 (House 53), House 53 Magnitude, House 53 Phase, 58 (House 54), House 54 Magnitude, House 54 Phase, 59 (House 55), House 55 Magnitude, House 55 Phase, 6 (House 56), House 56 Magnitude, House 56 Phase, 60 (House 57), House 57 Magnitude, House 57 Phase, 61 (House 58), House 58 Magnitude, House 58 Phase, 62 (House 59), House 59 Magnitude, House 59 Phase, 63 (House 60), House 60 Magnitude, House 60 Phase, 64 (House 61), House 61 Magnitude, House 61 Phase, 65 (House 62), House 62 Magnitude, House 62 Phase, 66 (House 63), House 63 Magnitude, House 63 Phase, 7 (House 64), House 64 Magnitude, House 64 Phase, 8 (House 65), House 65 Magnitude, House 65 Phase, 9 (House 66), House 66 Magnitude, House 66 Phase, 
2019 Aug 19 (Mon) 0:00, 223.445, 315.999, -6.06842, 215.83, 305.23, -128.241, 220.746, 312.183, -128.38, 222.186, 314.218, 112.941, 219.859, 310.928, -6.10334, 220.746, 312.183, -128.38, 222.186, 314.218, 112.941, 221.376, 313.073, 112.851, 219.099, 309.853, -6.19041, 219.953, 311.06, -128.459, 217.823, 308.048, 112.816, 222.673, 314.907, -6.15549, 221.032, 312.586, 112.828, 222.34, 314.436, -6.17539, 219.607, 310.572, -128.478, 220.249, 311.48, -128.181, 218.237, 308.634, 112.609, 225.344, 318.684, -5.88116, 220.249, 311.48, -128.181, 221.797, 313.668, 112.644, 217.691, 307.862, 112.438, 225.445, 318.827, -5.84619, 216.423, 306.068, -128.494, 219.35, 310.208, -128.207, 221.242, 312.883, 112.473, 219.249, 310.065, -128.213, 221.123, 312.714, 112.469, 225.323, 318.655, -5.85537, 219.249, 310.065, -128.213, 221.123, 312.714, 112.469, 220.803, 312.262, 112.813, 222.118, 314.122, -6.18868, 219.377, 310.246, -128.49, 225.344, 318.684, -5.88116, 220.803, 312.262, 112.813, 222.118, 314.122, -6.18868, 219.377, 310.246, -128.49, 220.688, 312.1, 112.806, 222.007, 313.965, -6.19534, 219.262, 310.084, -128.496, 220.688, 312.1, 112.806, 222.007, 313.965, -6.19534, 219.262, 310.084, -128.496, 223.145, 315.574, 112.934, 225.445, 318.827, -5.84619, 225.007, 318.208, -5.86028, 221.287, 312.947, -128.253, 223.145, 315.574, 112.934, 225.007, 318.208, -5.86028, 221.287, 312.947, -128.253, 223.593, 316.208, 112.826, 224.775, 317.88, -5.67726, 219.742, 310.761, -128.49, 223.593, 316.208, 112.826, 224.775, 317.88, -5.67726, 225.323, 318.655, -5.85537, 216.215, 305.774, -128.525, 223.814, 316.521, 112.772, 224.662, 317.72, -5.58623, 218.972, 309.673, -128.61, 223.814, 316.521, 112.772, 224.662, 317.72, -5.58623, 215.458, 304.703, -128.644, 221.032, 312.586, 112.828, 222.34, 314.436, -6.17539, 219.607, 310.572, -128.478, 
2019 Aug 19 (Mon) 0:30, 223.522, 316.108, -5.75403, 215.952, 305.402, -127.935, 220.872, 312.361, -128.073, 222.291, 314.366, 113.252, 219.934, 311.034, -5.78902, 220.872, 312.361, -128.073, 222.291, 314.366, 113.252, 221.502, 313.251, 113.169, 219.193, 309.986, -5.86889, 220.098, 311.266, -128.145, 217.946, 308.223, 113.134, 222.769, 315.043, -5.83391, 221.174, 312.787, 113.152, 222.45, 314.592, -5.84837, 219.768, 310.799, -128.159, 220.364, 311.642, -127.878, 218.33, 308.765, 112.916, 225.412, 318.781, -5.56998, 220.364, 311.642, -127.878, 221.891, 313.802, 112.951, 217.794, 308.008, 112.749, 225.523, 318.938, -5.53126, 216.566, 306.27, -128.18, 219.474, 310.383, -127.9, 221.347, 313.032, 112.784, 219.377, 310.246, -127.905, 221.233, 312.871, 112.781, 225.407, 318.773, -5.53857, 219.377, 310.246, -127.905, 221.233, 312.871, 112.781, 220.955, 312.477, 113.14, 222.238, 314.292, -5.85804, 219.548, 310.488, -128.168, 225.412, 318.781, -5.56998, 220.955, 312.477, 113.14, 222.238, 314.292, -5.85804, 219.548, 310.488, -128.168, 220.846, 312.323, 113.135, 222.132, 314.142, -5.86288, 219.438, 310.332, -128.172, 220.846, 312.323, 113.135, 222.132, 314.142, -5.86288, 219.438, 310.332, -128.172, 223.224, 315.686, 113.236, 225.523, 318.938, -5.53126, 225.06, 318.283, -5.55472, 221.388, 313.09, -127.955, 223.224, 315.686, 113.236, 225.06, 318.283, -5.55472, 221.388, 313.09, -127.955, 223.683, 316.336, 113.132, 224.838, 317.969, -5.36788, 219.851, 310.917, -128.189, 223.683, 316.336, 113.132, 224.838, 317.969, -5.36788, 225.407, 318.773, -5.53857, 216.323, 305.926, -128.224, 223.911, 316.657, 113.079, 224.729, 317.815, -5.27494, 219.086, 309.835, -128.306, 223.911, 316.657, 113.079, 224.729, 317.815, -5.27494, 215.57, 304.862, -128.341, 221.174, 312.787, 113.152, 222.45, 314.592, -5.84837, 219.768, 310.799, -128.159, 
2019 Aug 19 (Mon) 1:00, 226.887, 320.867, -5.65062, 219.149, 309.923, -127.869, 224.145, 316.989, -128.009, 225.616, 319.069, 113.334, 223.245, 315.716, -5.68526, 224.145, 316.989, -128.009, 225.616, 319.069, 113.334, 224.901, 318.058, 113.24, 222.577, 314.771, -5.77509, 223.44, 315.992, -128.092, 221.29, 312.952, 113.205, 226.209, 319.907, -5.74045, 224.633, 317.679, 113.214, 225.95, 319.541, -5.76238, 223.166, 315.604, -128.113, 223.588, 316.201, -127.807, 221.551, 313.32, 113.004, 228.767, 323.526, -5.46193, 223.588, 316.201, -127.807, 225.166, 318.433, 113.038, 221.049, 312.61, 112.83, 228.925, 323.749, -5.42829, 219.853, 310.919, -128.126, 222.725, 314.98, -127.834, 224.656, 317.711, 112.865, 222.646, 314.869, -127.842, 224.562, 317.578, 112.86, 228.829, 323.613, -5.43811, 222.646, 314.869, -127.842, 224.562, 317.578, 112.86, 224.455, 317.427, 113.197, 225.777, 319.297, -5.77702, 222.983, 315.346, -128.128, 228.767, 323.526, -5.46193, 224.455, 317.427, 113.197, 225.777, 319.297, -5.77702, 222.983, 315.346, -128.128, 224.365, 317.301, 113.189, 225.691, 319.175, -5.78435, 222.892, 315.217, -128.135, 224.365, 317.301, 113.189, 225.691, 319.175, -5.78435, 222.892, 315.217, -128.135, 226.455, 320.256, 113.332, 228.925, 323.749, -5.42829, 228.342, 322.925, -5.43895, 224.567, 317.585, -127.876, 226.455, 320.256, 113.332, 228.342, 322.925, -5.43895, 224.567, 317.585, -127.876, 226.966, 320.978, 113.221, 228.163, 322.671, -5.25675, 223.046, 315.435, -128.116, 226.966, 320.978, 113.221, 228.163, 322.671, -5.25675, 228.829, 323.613, -5.43811, 219.465, 310.37, -128.151, 227.219, 321.336, 113.166, 228.075, 322.547, -5.16613, 222.289, 314.364, -128.236, 227.219, 321.336, 113.166, 228.075, 322.547, -5.16613, 218.72, 309.317, -128.271, 224.633, 317.679, 113.214, 225.95, 319.541, -5.76238, 223.166, 315.604, -128.113, 
2019 Aug 19 (Mon) 1:30, 227.266, 321.403, -5.42672, 219.543, 310.48, -127.654, 224.549, 317.561, -127.794, 226.011, 319.627, 113.553, 223.617, 316.243, -5.46136, 224.549, 317.561, -127.794, 226.011, 319.627, 113.553, 225.318, 318.647, 113.463, 222.969, 315.326, -5.54735, 223.865, 316.593, -127.873, 221.7, 313.531, 113.429, 226.608, 320.472, -5.5127, 225.066, 318.292, 113.44, 226.365, 320.128, -5.53172, 223.606, 316.227, -127.892, 223.98, 316.756, -127.594, 221.927, 313.852, 113.221, 229.14, 324.052, -5.23974, 223.98, 316.756, -127.594, 225.549, 318.974, 113.256, 221.436, 313.157, 113.05, 229.309, 324.292, -5.20408, 220.27, 311.509, -127.908, 223.125, 315.547, -127.619, 225.049, 318.268, 113.084, 223.052, 315.444, -127.626, 224.961, 318.143, 113.08, 229.218, 324.164, -5.21289, 223.052, 315.444, -127.626, 224.961, 318.143, 113.08, 224.899, 318.055, 113.425, 226.203, 319.899, -5.54441, 223.434, 315.984, -127.905, 229.14, 324.052, -5.23974, 224.899, 318.055, 113.425, 226.203, 319.899, -5.54441, 223.434, 315.984, -127.905, 224.815, 317.937, 113.417, 226.122, 319.785, -5.55077, 223.348, 315.862, -127.911, 224.815, 317.937, 113.417, 226.122, 319.785, -5.55077, 223.348, 315.862, -127.911, 226.823, 320.776, 113.547, 229.309, 324.292, -5.20408, 228.697, 323.426, -5.21977, 224.945, 318.12, -127.666, 226.823, 320.776, 113.547, 228.697, 323.426, -5.21977, 224.945, 318.12, -127.666, 227.346, 321.516, 113.438, 228.528, 323.187, -5.03546, 223.432, 315.98, -127.904, 227.346, 321.516, 113.438, 228.528, 323.187, -5.03546, 229.218, 324.164, -5.21289, 219.844, 310.907, -127.938, 227.606, 321.883, 113.384, 228.445, 323.07, -4.94379, 222.678, 314.915, -128.023, 227.606, 321.883, 113.384, 228.445, 323.07, -4.94379, 219.103, 309.858, -128.058, 225.066, 318.292, 113.44, 226.365, 320.128, -5.53172, 223.606, 316.227, -127.892, 
2019 Aug 19 (Mon) 2:00, 225.095, 318.332, -5.24181, 217.519, 307.618, -127.45, 222.48, 314.634, -127.589, 223.888, 316.626, 113.75, 221.481, 313.221, -5.27674, 222.48, 314.634, -127.589, 223.888, 316.626, 113.75, 223.163, 315.6, 113.673, 220.8, 312.258, -5.35039, 221.765, 313.623, -127.656, 219.58, 310.533, 113.638, 224.403, 317.354, -5.31547, 222.885, 315.207, 113.66, 224.132, 316.971, -5.32521, 221.482, 313.223, -127.665, 221.933, 313.861, -127.396, 219.864, 310.935, 113.411, 226.968, 320.981, -5.06048, 221.933, 313.861, -127.396, 223.452, 316.009, 113.446, 219.359, 310.22, 113.246, 227.115, 321.189, -5.01844, 218.205, 308.588, -127.691, 221.068, 312.638, -127.415, 222.939, 315.283, 113.281, 220.987, 312.523, -127.419, 222.841, 315.145, 113.28, 227.014, 321.047, -5.02411, 220.987, 312.523, -127.419, 222.841, 315.145, 113.28, 222.699, 314.944, 113.651, 223.952, 316.715, -5.33172, 221.293, 312.956, -127.671, 226.968, 320.981, -5.06048, 222.699, 314.944, 113.651, 223.952, 316.715, -5.33172, 221.293, 312.956, -127.671, 222.607, 314.813, 113.647, 223.861, 316.588, -5.33498, 221.199, 312.823, -127.675, 222.607, 314.813, 113.647, 223.861, 316.588, -5.33498, 221.199, 312.823, -127.675, 224.742, 317.833, 113.727, 227.115, 321.189, -5.01844, 226.561, 320.406, -5.0501, 222.916, 315.251, -127.477, 224.742, 317.833, 113.727, 226.561, 320.406, -5.0501, 222.916, 315.251, -127.477, 225.241, 318.539, 113.625, 226.372, 320.138, -4.85967, 221.4, 313.107, -127.709, 225.241, 318.539, 113.625, 226.372, 320.138, -4.85967, 227.014, 321.047, -5.02411, 217.846, 308.08, -127.743, 225.488, 318.888, 113.574, 226.279, 320.007, -4.76493, 220.646, 312.04, -127.825, 225.488, 318.888, 113.574, 226.279, 320.007, -4.76493, 217.103, 307.03, -127.86, 222.885, 315.207, 113.66, 224.132, 316.971, -5.32521, 221.482, 313.223, -127.665, 
2019 Aug 19 (Mon) 2:30, 227.68, 321.988, -5.23897, 219.964, 311.076, -127.474, 224.982, 318.172, -127.614, 226.436, 320.23, 113.737, 224.024, 316.818, -5.2736, 224.982, 318.172, -127.614, 226.436, 320.23, 113.737, 225.764, 319.278, 113.649, 223.395, 315.928, -5.35673, 224.316, 317.231, -127.691, 222.138, 314.151, 113.615, 227.041, 321.084, -5.32209, 225.528, 318.945, 113.629, 226.813, 320.762, -5.33893, 224.072, 316.886, -127.708, 224.4, 317.35, -127.416, 222.334, 314.428, 113.403, 229.547, 324.629, -5.05325, 224.4, 317.35, -127.416, 225.963, 319.56, 113.438, 221.852, 313.747, 113.233, 229.728, 324.884, -5.01608, 220.714, 312.136, -127.726, 223.554, 316.153, -127.44, 225.473, 318.867, 113.268, 223.486, 316.056, -127.446, 225.39, 318.75, 113.264, 229.642, 324.763, -5.02414, 223.486, 316.056, -127.446, 225.39, 318.75, 113.264, 225.371, 318.723, 113.615, 226.661, 320.546, -5.35019, 223.91, 316.657, -127.72, 229.547, 324.629, -5.05325, 225.371, 318.723, 113.615, 226.661, 320.546, -5.35019, 223.91, 316.657, -127.72, 225.292, 318.612, 113.608, 226.584, 320.439, -5.35582, 223.829, 316.542, -127.725, 225.292, 318.612, 113.608, 226.584, 320.439, -5.35582, 223.829, 316.542, -127.725, 227.223, 321.342, 113.727, 229.728, 324.884, -5.01608, 229.088, 323.979, -5.03551, 225.352, 318.696, -127.49, 227.223, 321.342, 113.727, 229.088, 323.979, -5.03551, 225.352, 318.696, -127.49, 227.759, 322.1, 113.619, 228.929, 323.754, -4.84961, 223.846, 316.566, -127.726, 227.759, 322.1, 113.619, 228.929, 323.754, -4.84961, 229.642, 324.763, -5.02414, 220.251, 311.483, -127.761, 228.025, 322.476, 113.566, 228.851, 323.644, -4.75715, 223.096, 315.506, -127.845, 228.025, 322.476, 113.566, 228.851, 323.644, -4.75715, 219.514, 310.439, -127.88, 225.528, 318.945, 113.629, 226.813, 320.762, -5.33893, 224.072, 316.886, -127.708, 
2019 Aug 19 (Mon) 3:00, 228.344, 322.927, -5.27914, 220.585, 311.954, -127.521, 225.617, 319.07, -127.661, 227.087, 321.149, 113.693, 224.677, 317.741, -5.3137, 225.617, 319.07, -127.661, 227.087, 321.149, 113.693, 226.425, 320.213, 113.602, 224.059, 316.867, -5.40017, 224.961, 318.143, -127.741, 222.788, 315.07, 113.567, 227.716, 322.039, -5.36561, 226.198, 319.892, 113.578, 227.497, 321.729, -5.38497, 224.726, 317.811, -127.761, 225.028, 318.238, -127.46, 222.966, 315.321, 113.361, 230.211, 325.567, -5.09189, 225.028, 318.238, -127.46, 226.605, 320.468, 113.396, 222.489, 314.647, 113.189, 230.398, 325.833, -5.05644, 221.349, 313.034, -127.776, 224.185, 317.045, -127.486, 226.12, 319.782, 113.224, 224.12, 316.953, -127.493, 226.04, 319.669, 113.219, 230.316, 325.716, -5.06535, 224.12, 316.953, -127.493, 226.04, 319.669, 113.219, 226.047, 319.679, 113.563, 227.351, 321.523, -5.3979, 224.569, 317.589, -127.774, 230.211, 325.567, -5.09189, 226.047, 319.679, 113.563, 227.351, 321.523, -5.3979, 224.569, 317.589, -127.774, 225.972, 319.572, 113.555, 227.278, 321.419, -5.40437, 224.491, 317.478, -127.781, 225.972, 319.572, 113.555, 227.278, 321.419, -5.40437, 224.491, 317.478, -127.781, 227.859, 322.242, 113.688, 230.398, 325.833, -5.05644, 229.74, 324.901, -5.07155, 225.974, 319.575, -127.532, 227.859, 322.242, 113.688, 229.74, 324.901, -5.07155, 225.974, 319.575, -127.532, 228.403, 323.011, 113.578, 229.587, 324.685, -4.8873, 224.469, 317.447, -127.77, 228.403, 323.011, 113.578, 229.587, 324.685, -4.8873, 230.316, 325.716, -5.06535, 220.864, 312.349, -127.805, 228.673, 323.393, 113.523, 229.513, 324.58, -4.79566, 223.72, 316.387, -127.89, 228.673, 323.393, 113.523, 229.513, 324.58, -4.79566, 220.127, 311.306, -127.924, 226.198, 319.892, 113.578, 227.497, 321.729, -5.38497, 224.726, 317.811, -127.761, 
2019 Aug 19 (Mon) 3:30, 227.557, 321.814, -5.3207, 219.834, 310.892, -127.553, 224.848, 317.984, -127.693, 226.307, 320.047, 113.657, 223.903, 316.646, -5.35533, 224.848, 317.984, -127.693, 226.307, 320.047, 113.657, 225.626, 319.084, 113.568, 223.267, 315.747, -5.43991, 224.176, 317.032, -127.771, 222.003, 313.96, 113.533, 226.91, 320.9, -5.40527, 225.385, 318.743, 113.546, 226.677, 320.569, -5.42321, 223.926, 316.68, -127.789, 224.271, 317.168, -127.494, 222.211, 314.254, 113.324, 229.426, 324.458, -5.13434, 224.271, 317.168, -127.494, 225.838, 319.383, 113.358, 221.726, 313.567, 113.153, 229.603, 324.707, -5.09792, 220.576, 311.941, -127.806, 223.422, 315.966, -127.518, 225.344, 318.685, 113.187, 223.352, 315.867, -127.525, 225.259, 318.565, 113.183, 229.515, 324.584, -5.10637, 223.352, 315.867, -127.525, 225.259, 318.565, 113.183, 225.224, 318.515, 113.531, 226.521, 320.349, -5.4352, 223.76, 316.445, -127.801, 229.426, 324.458, -5.13434, 225.224, 318.515, 113.531, 226.521, 320.349, -5.4352, 223.76, 316.445, -127.801, 225.144, 318.401, 113.524, 226.443, 320.239, -5.4412, 223.677, 316.327, -127.807, 225.144, 318.401, 113.524, 226.443, 320.239, -5.4412, 223.677, 316.327, -127.807, 227.103, 321.172, 113.649, 229.603, 324.707, -5.09792, 228.973, 323.817, -5.11547, 225.228, 318.521, -127.567, 227.103, 321.172, 113.649, 228.973, 323.817, -5.11547, 225.228, 318.521, -127.567, 227.635, 321.924, 113.54, 228.81, 323.586, -4.93036, 223.719, 316.387, -127.804, 227.635, 321.924, 113.54, 228.81, 323.586, -4.93036, 229.515, 324.584, -5.10637, 220.127, 311.307, -127.839, 227.898, 322.296, 113.486, 228.731, 323.474, -4.83829, 222.968, 315.324, -127.923, 227.898, 322.296, 113.486, 228.731, 323.474, -4.83829, 219.388, 310.261, -127.958, 225.385, 318.743, 113.546, 226.677, 320.569, -5.42321, 223.926, 316.68, -127.789, 
2019 Aug 19 (Mon) 4:00, 226.733, 320.649, -5.22607, 219.07, 309.812, -127.452, 224.067, 316.879, -127.591, 225.504, 318.911, 113.756, 223.092, 315.5, -5.26081, 224.067, 316.879, -127.591, 225.504, 318.911, 113.756, 224.813, 317.934, 113.672, 222.445, 314.585, -5.34016, 223.385, 315.914, -127.664, 221.203, 312.828, 113.637, 226.075, 319.719, -5.30542, 224.562, 317.579, 113.654, 225.832, 319.375, -5.31943, 223.127, 315.55, -127.678, 223.498, 316.074, -127.395, 221.43, 313.149, 113.42, 228.602, 323.292, -5.0421, 223.498, 316.074, -127.395, 225.044, 318.26, 113.454, 220.94, 312.457, 113.252, 228.77, 323.53, -5.00298, 219.798, 310.841, -127.699, 222.646, 314.868, -127.417, 224.546, 317.556, 113.286, 222.573, 314.765, -127.422, 224.458, 317.432, 113.283, 228.679, 323.402, -5.01009, 222.573, 314.765, -127.422, 224.458, 317.432, 113.283, 224.395, 317.343, 113.643, 225.67, 319.145, -5.3288, 222.956, 315.307, -127.688, 228.602, 323.292, -5.0421, 224.395, 317.343, 113.643, 225.67, 319.145, -5.3288, 222.956, 315.307, -127.688, 224.312, 317.225, 113.637, 225.589, 319.031, -5.33349, 222.87, 315.186, -127.692, 224.312, 317.225, 113.637, 225.589, 319.031, -5.33349, 222.87, 315.186, -127.692, 226.314, 320.056, 113.741, 228.77, 323.53, -5.00298, 228.161, 322.668, -5.02729, 224.461, 317.436, -127.471, 226.314, 320.056, 113.741, 228.161, 322.668, -5.02729, 224.461, 317.436, -127.471, 226.837, 320.796, 113.635, 227.991, 322.428, -4.83957, 222.952, 315.302, -127.706, 226.837, 320.796, 113.635, 227.991, 322.428, -4.83957, 228.679, 323.402, -5.01009, 219.372, 310.238, -127.741, 227.096, 321.163, 113.582, 227.908, 322.311, -4.74619, 222.2, 314.239, -127.824, 227.096, 321.163, 113.582, 227.908, 322.311, -4.74619, 218.632, 309.193, -127.859, 224.562, 317.579, 113.654, 225.832, 319.375, -5.31943, 223.127, 315.55, -127.678, 
2019 Aug 19 (Mon) 4:30, 225.628, 319.086, -5.37511, 218.002, 308.301, -127.586, 222.973, 315.332, -127.725, 224.401, 317.351, 113.615, 222.006, 313.963, -5.40995, 222.973, 315.332, -127.725, 224.401, 317.351, 113.615, 223.678, 316.329, 113.532, 221.328, 313.005, -5.48871, 222.261, 314.324, -127.797, 220.087, 311.25, 113.497, 224.939, 318.112, -5.45387, 223.403, 315.939, 113.515, 224.672, 317.734, -5.46746, 221.98, 313.927, -127.81, 222.424, 314.555, -127.529, 220.365, 311.643, 113.278, 227.504, 321.739, -5.19146, 222.424, 314.555, -127.529, 223.961, 316.729, 113.313, 219.861, 310.93, 113.111, 227.653, 321.95, -5.15207, 218.692, 309.278, -127.832, 221.559, 313.332, -127.551, 223.448, 316.004, 113.146, 221.479, 313.218, -127.556, 223.352, 315.867, 113.143, 227.554, 321.81, -5.15905, 221.479, 313.218, -127.556, 223.352, 315.867, 113.143, 223.219, 315.679, 113.504, 224.493, 317.481, -5.47654, 221.793, 313.662, -127.819, 227.504, 321.739, -5.19146, 223.219, 315.679, 113.504, 224.493, 317.481, -5.47654, 221.793, 313.662, -127.819, 223.127, 315.549, 113.498, 224.404, 317.355, -5.48108, 221.699, 313.53, -127.824, 223.127, 315.549, 113.498, 224.404, 317.355, -5.48108, 221.699, 313.53, -127.824, 225.251, 318.553, 113.598, 227.653, 321.95, -5.15207, 227.092, 321.156, -5.1771, 223.406, 315.944, -127.607, 225.251, 318.553, 113.598, 227.092, 321.156, -5.1771, 223.406, 315.944, -127.607, 225.753, 319.264, 113.494, 226.905, 320.892, -4.98927, 221.889, 313.798, -127.841, 225.753, 319.264, 113.494, 226.905, 320.892, -4.98927, 227.554, 321.81, -5.15905, 218.326, 308.76, -127.876, 226.002, 319.615, 113.441, 226.814, 320.763, -4.89584, 221.133, 312.729, -127.958, 226.002, 319.615, 113.441, 226.814, 320.763, -4.89584, 217.583, 307.708, -127.993, 223.403, 315.939, 113.515, 224.672, 317.734, -5.46746, 221.98, 313.927, -127.81, 
