Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 156.394, 221.174, -18.6507, 211.854, 299.595, -137.704, 127.884, 180.839, 99.2308, 72.4333, 102.436, -113.626, 
2019 Aug 19 (Mon) 0:30, 93.6942, 132.503, -26.5939, 205.667, 290.846, -138.357, 122.289, 172.926, 97.637, 103.532, 146.417, -146.324, 
2019 Aug 19 (Mon) 1:00, 79.8443, 112.917, -17.9831, 109.243, 154.47, -135.233, 139.526, 197.304, 105.9, 51.4712, 72.7913, 140.691, 
2019 Aug 19 (Mon) 1:30, 74.4829, 105.335, -18.958, 74.4584, 105.266, -138.886, 104.371, 147.582, 104.519, 30.2747, 42.8149, 112.936, 
2019 Aug 19 (Mon) 2:00, 79.3234, 112.18, -27.8286, 107.714, 152.307, -142.076, 79.3863, 112.241, 92.1142, 29.7688, 42.0995, -126.561, 
2019 Aug 19 (Mon) 2:30, 69.6637, 98.5192, -19.4319, 69.6847, 98.5128, -139.428, 69.6875, 98.5213, 100.573, 1.50903e-05, 2.1341e-05, -78.9066, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4924, -16.458, 68.25, 96.4878, -136.455, 68.2518, 96.4943, 103.546, 1.51857e-05, 2.14758e-05, -79.0205, 
2019 Aug 19 (Mon) 3:30, 71.5501, 101.187, -18.9985, 71.5704, 101.181, -138.995, 71.5733, 101.189, 101.006, 1.50691e-05, 2.13109e-05, -79.0817, 
2019 Aug 19 (Mon) 4:00, 72.7756, 102.92, -22.938, 72.7957, 102.911, -142.934, 72.7999, 102.922, 97.0682, 1.49531e-05, 2.11468e-05, -78.8417, 
2019 Aug 19 (Mon) 4:30, 79.3826, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4048, 112.266, 95.1839, 1.47872e-05, 2.09123e-05, -79.1264, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2635, 113.48, 98.9296, 1.4868e-05, 2.10265e-05, -79.5473, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4522, 125.062, -136.807, 88.4558, 125.07, 103.194, 1.48573e-05, 2.10114e-05, -80.5672, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0999, 134.465, -136.414, 95.1039, 134.474, 103.587, 1.47676e-05, 2.08845e-05, -81.1301, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 1.40679e-05, 1.98951e-05, -80.7763, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.002, -145.162, 114.575, 162.017, 94.8406, 1.41413e-05, 1.99989e-05, -81.5475, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 1.39538e-05, 1.97337e-05, -82.0297, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 1.40589e-05, 1.98823e-05, -81.9771, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.18, 164.288, -149.672, 116.189, 164.303, 90.3306, 1.39593e-05, 1.97415e-05, -80.9784, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 1.40003e-05, 1.97994e-05, -80.9053, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 1.43297e-05, 2.02652e-05, -81.177, 
2019 Aug 19 (Mon) 10:00, 98.9653, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 1.4608e-05, 2.06589e-05, -81.131, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8695, 131.31, -136.329, 92.8733, 131.319, 103.672, 1.48046e-05, 2.09368e-05, -80.9612, 
2019 Aug 19 (Mon) 11:00, 96.829, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 1.46065e-05, 2.06567e-05, -80.8468, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 1.45714e-05, 2.06071e-05, -81.1096, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 1.45281e-05, 2.05459e-05, -81.2012, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 1.43375e-05, 2.02763e-05, -81.0171, 
