Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 225.555, 318.982, -5.91776, 221.772, 313.633, -128.252, 227.192, 321.298, 115.319, 0.780595, 1.10393, 77.1349, 
2019 Aug 19 (Mon) 0:30, 228.963, 323.803, -3.14076, 221.843, 313.734, -127.949, 227.186, 321.29, 115.614, 1.03771, 1.46755, 74.7595, 
2019 Aug 19 (Mon) 1:00, 232.251, 328.453, -2.95438, 230.546, 326.041, -124.192, 228.719, 323.458, 114.541, 0.419773, 0.593649, 43.686, 
2019 Aug 19 (Mon) 1:30, 232.529, 328.846, -2.72254, 232.547, 328.871, -122.723, 230.849, 326.47, 116.011, 0.207975, 0.294121, -37.5817, 
2019 Aug 19 (Mon) 2:00, 230.31, 325.707, -2.59335, 228.671, 323.389, -123.853, 230.292, 325.683, 117.408, 0.195848, 0.27697, 81.3655, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 2.08913e-07, 2.95447e-07, 118.611, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55254, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 2.10041e-07, 2.97042e-07, 118.537, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 2.08702e-07, 2.95149e-07, 118.46, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 2.07307e-07, 2.93176e-07, 118.636, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70915, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 2.0544e-07, 2.90536e-07, 118.361, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 2.06465e-07, 2.91985e-07, 118.027, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 2.06546e-07, 2.92101e-07, 117.171, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 2.05616e-07, 2.90785e-07, 116.681, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 1.97381e-07, 2.7914e-07, 116.822, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 1.98388e-07, 2.80564e-07, 116.195, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22116, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 1.96284e-07, 2.77587e-07, 115.751, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 1.97505e-07, 2.79314e-07, 115.819, 
2019 Aug 19 (Mon) 8:30, 225.66, 319.132, -3.76005, 225.661, 319.132, -123.76, 225.66, 319.132, 116.24, 1.96149e-07, 2.77397e-07, 116.629, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 1.96614e-07, 2.78055e-07, 116.699, 
2019 Aug 19 (Mon) 9:30, 228.319, 322.892, -3.73801, 228.319, 322.892, -123.738, 228.319, 322.892, 116.262, 2.00519e-07, 2.83576e-07, 116.547, 
2019 Aug 19 (Mon) 10:00, 230.236, 325.603, -3.63794, 230.236, 325.604, -123.638, 230.236, 325.603, 116.362, 2.03757e-07, 2.88157e-07, 116.646, 
2019 Aug 19 (Mon) 10:30, 231.537, 327.443, -3.50824, 231.537, 327.443, -123.508, 231.537, 327.443, 116.492, 2.06012e-07, 2.91345e-07, 116.831, 
2019 Aug 19 (Mon) 11:00, 230.143, 325.471, -3.51394, 230.143, 325.471, -123.514, 230.143, 325.471, 116.486, 2.03683e-07, 2.88051e-07, 116.883, 
2019 Aug 19 (Mon) 11:30, 229.977, 325.236, -3.63916, 229.977, 325.236, -123.639, 229.976, 325.236, 116.361, 2.03326e-07, 2.87546e-07, 116.656, 
2019 Aug 19 (Mon) 12:00, 229.704, 324.851, -3.69158, 229.704, 324.851, -123.692, 229.704, 324.851, 116.308, 2.0284e-07, 2.86859e-07, 116.57, 
2019 Aug 19 (Mon) 12:30, 228.327, 322.903, -3.66573, 228.327, 322.903, -123.666, 228.327, 322.902, 116.334, 2.00579e-07, 2.83662e-07, 116.682, 
2019 Aug 19 (Mon) 13:00, 230.997, 326.679, -3.83224, 230.997, 326.679, -123.832, 230.997, 326.679, 116.168, 2.04899e-07, 2.8977e-07, 116.247, 
2019 Aug 19 (Mon) 13:30, 230.628, 326.157, -3.61606, 230.628, 326.157, -123.616, 230.628, 326.157, 116.384, 2.04423e-07, 2.89098e-07, 116.669, 
2019 Aug 19 (Mon) 14:00, 227.989, 322.425, -3.51667, 227.989, 322.425, -123.517, 227.989, 322.425, 116.483, 2.00118e-07, 2.8301e-07, 116.977, 
2019 Aug 19 (Mon) 14:30, 226.966, 320.979, -3.3945, 226.966, 320.979, -123.395, 226.966, 320.979, 116.605, 1.98517e-07, 2.80745e-07, 117.254, 
2019 Aug 19 (Mon) 15:00, 230.616, 326.14, -3.82114, 230.616, 326.141, -123.821, 230.616, 326.14, 116.179, 2.04269e-07, 2.88881e-07, 116.285, 
2019 Aug 19 (Mon) 15:30, 228.421, 323.037, -4.00405, 228.421, 323.037, -124.004, 228.421, 323.037, 115.996, 2.00519e-07, 2.83577e-07, 116.042, 
2019 Aug 19 (Mon) 16:00, 229.331, 324.323, -4.33397, 229.331, 324.323, -124.334, 229.331, 324.323, 115.666, 2.018e-07, 2.85388e-07, 115.381, 
2019 Aug 19 (Mon) 16:30, 226.301, 320.038, -4.50415, 226.301, 320.038, -124.504, 226.301, 320.038, 115.496, 1.96723e-07, 2.78209e-07, 115.203, 
2019 Aug 19 (Mon) 17:00, 225.678, 319.157, -5.01179, 225.678, 319.157, -125.012, 225.678, 319.157, 114.988, 1.95384e-07, 2.76314e-07, 114.281, 
2019 Aug 19 (Mon) 17:30, 221.874, 313.777, -5.40251, 221.874, 313.777, -125.403, 221.874, 313.777, 114.597, 1.89015e-07, 2.67307e-07, 113.733, 
2019 Aug 19 (Mon) 18:00, 219.615, 310.582, -5.884, 219.615, 310.582, -125.884, 219.615, 310.582, 114.116, 1.85131e-07, 2.61814e-07, 112.944, 
2019 Aug 19 (Mon) 18:30, 216.774, 306.565, -7.44397, 218.5, 309.005, -126.288, 218.519, 309.033, 113.71, 0.111894, 0.158242, -172.051, 
2019 Aug 19 (Mon) 19:00, 215.616, 304.927, -7.42633, 217.319, 307.335, -126.277, 217.338, 307.362, 113.721, 0.11006, 0.155648, -172.052, 
2019 Aug 19 (Mon) 19:30, 220.997, 312.536, -6.60365, 220.997, 312.537, -126.604, 220.997, 312.536, 113.396, 1.86865e-07, 2.64268e-07, 111.528, 
2019 Aug 19 (Mon) 20:00, 223.225, 315.688, -6.47302, 217.479, 307.561, -129.88, 223.087, 315.492, 113.535, 0.699411, 0.989116, 73.3741, 
2019 Aug 19 (Mon) 20:30, 215.002, 304.059, -7.25235, 211.41, 298.979, -129.473, 214.934, 303.963, 112.727, 0.288185, 0.407555, 95.0024, 
2019 Aug 19 (Mon) 21:00, 218.274, 308.686, -7.30446, 220.029, 311.169, -126.191, 218.368, 308.82, 112.663, 0.410295, 0.580244, -120.322, 
2019 Aug 19 (Mon) 21:30, 220.605, 311.982, -5.91399, 220.605, 311.983, -125.914, 220.605, 311.982, 114.086, 1.86679e-07, 2.64003e-07, 112.839, 
2019 Aug 19 (Mon) 22:00, 220.652, 312.049, -6.60358, 222.378, 314.49, -125.413, 222.395, 314.515, 114.585, 0.116519, 0.164782, -169.985, 
2019 Aug 19 (Mon) 22:30, 221.583, 313.365, -6.23293, 221.567, 313.343, -126.235, 223.301, 315.795, 114.967, 0.0963351, 0.136238, 145.892, 
2019 Aug 19 (Mon) 23:00, 224.813, 317.934, -4.50614, 221.424, 313.14, -126.917, 221.345, 313.03, 113.133, 0.541311, 0.76553, -14.2103, 
2019 Aug 19 (Mon) 23:30, 220.065, 311.219, -7.5154, 223.648, 316.286, -125.15, 221.943, 313.875, 113.685, 0.348736, 0.493187, -91.4894, 
2019 Aug 20 (Tue) 0:00, 219.795, 310.838, -9.35795, 228.864, 323.663, -123.442, 229.026, 323.891, 116.547, 1.42577, 2.01635, -162.723, 
