Time, 10_EV, 11_EV, 13_EV, 14_EV, 15_EV, 16_EV, 18_EV, 19_EV, 20_EV, 24_EV, 25_EV, 29_EV, 30_EV, 31_EV, 32_EV, 38_EV, 39_EV, 3_EV, 41_EV, 45_EV, 46_EV, 47_EV, 48_EV, 4_EV, 50_EV, 52_EV, 58_EV, 60_EV, 62_EV, 65_EV, 66_EV, 6_EV, 8_EV, 9_EV, 
2019 Aug 19 (Mon) 10:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 10:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 11:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 11:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 12:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 12:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 13:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 13:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 14:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 14:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 15:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 15:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 16:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 16:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 17:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 17:30, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 18:00, 100, 100, 100, 98.6918, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99.8273, 100, 100, 99.0794, 100, 100, 100, 100, 100, 100, 100, 99.1692, 100, 99.2381, 100, 100, 100, 100, 98.7766, 100, 
2019 Aug 19 (Mon) 18:30, 92.0513, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.8786, 92.0513, 92.0513, 91.1306, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 92.0513, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 19:00, 92.0513, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.8786, 92.0513, 92.0513, 91.1306, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 97.7543, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 19:30, 92.0513, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.8786, 92.0513, 92.0513, 91.1306, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 20:00, 92.0513, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.8786, 92.0513, 92.0513, 91.1306, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 20:30, 97.7543, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 97.5846, 92.0513, 92.0513, 96.8467, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 21:00, 100, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 97.7543, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 100, 97.7543, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 21:30, 100, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 22:00, 100, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 22:30, 100, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 100, 92.0513, 92.0513, 97.7543, 92.0513, 92.0513, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 91.2894, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 23:00, 100, 92.0513, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 100, 92.0513, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 92.0513, 97.0041, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 19 (Mon) 23:30, 100, 97.7543, 92.0513, 90.7431, 92.0513, 92.0513, 92.0513, 100, 92.0513, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 97.7543, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 97.7543, 100, 92.0513, 100, 92.0513, 92.0513, 90.8279, 92.0513, 
2019 Aug 20 (Tue) 0:00, 100, 100, 97.7543, 90.7431, 92.0513, 92.0513, 92.0513, 100, 92.0513, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 91.2204, 100, 100, 97.7543, 100, 92.0513, 97.7543, 90.8279, 92.0513, 
