Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.983442, 0.9829, 0.935176, 0.940719
2019 Aug 19 (Mon) 0:30, 0.979744, 0.97915, 0.916137, 0.938462
2019 Aug 19 (Mon) 1:00, 0.965623, 0.965566, 0.965594, 0.999934
2019 Aug 19 (Mon) 1:30, 0.96042, 0.960367, 0.960395, 0.999942
2019 Aug 19 (Mon) 2:00, 0.904413, 0.904357, 0.904412, 0.99993
2019 Aug 19 (Mon) 2:30, 0.956972, 0.956921, 0.956949, 0.999949
2019 Aug 19 (Mon) 3:00, 0.970855, 0.970809, 0.970831, 0.999952
2019 Aug 19 (Mon) 3:30, 0.959555, 0.959503, 0.959531, 0.999946
2019 Aug 19 (Mon) 4:00, 0.937462, 0.937408, 0.937446, 0.999942
2019 Aug 19 (Mon) 4:30, 0.926629, 0.926569, 0.926615, 0.999931
2019 Aug 19 (Mon) 5:00, 0.950148, 0.950088, 0.950123, 0.999931
2019 Aug 19 (Mon) 5:30, 0.972625, 0.972564, 0.972592, 0.99992
2019 Aug 19 (Mon) 6:00, 0.975274, 0.97521, 0.975239, 0.999908
2019 Aug 19 (Mon) 6:30, 0.903726, 0.903636, 0.903711, 0.999859
2019 Aug 19 (Mon) 7:00, 0.932544, 0.93245, 0.93251, 0.999855
2019 Aug 19 (Mon) 7:30, 0.92841, 0.928307, 0.928373, 0.99983
2019 Aug 19 (Mon) 8:00, 0.935895, 0.935796, 0.935856, 0.999841
2019 Aug 19 (Mon) 8:30, 0.89968, 0.899585, 0.899664, 0.999847
2019 Aug 19 (Mon) 9:00, 0.901297, 0.901204, 0.901282, 0.999851
2019 Aug 19 (Mon) 9:30, 0.940054, 0.939968, 0.940021, 0.999876
2019 Aug 19 (Mon) 10:00, 0.963038, 0.962965, 0.963002, 0.999897
2019 Aug 19 (Mon) 10:30, 0.975273, 0.975211, 0.975239, 0.999912
2019 Aug 19 (Mon) 11:00, 0.957006, 0.956933, 0.956972, 0.9999
2019 Aug 19 (Mon) 11:30, 0.959587, 0.959512, 0.959551, 0.999895
2019 Aug 19 (Mon) 12:00, 0.95787, 0.957793, 0.957833, 0.99989
2019 Aug 19 (Mon) 12:30, 0.936697, 0.936612, 0.936666, 0.999878
2019 Aug 19 (Mon) 13:00, 0.977935, 0.97787, 0.977898, 0.999897
2019 Aug 19 (Mon) 13:30, 0.967378, 0.967308, 0.967342, 0.999901
2019 Aug 19 (Mon) 14:00, 0.923384, 0.923301, 0.923361, 0.999881
2019 Aug 19 (Mon) 14:30, 0.898009, 0.897927, 0.898001, 0.999875
2019 Aug 19 (Mon) 15:00, 0.973513, 0.973443, 0.973474, 0.999894
2019 Aug 19 (Mon) 15:30, 0.952751, 0.952663, 0.952711, 0.999867
2019 Aug 19 (Mon) 16:00, 0.97352, 0.97344, 0.973475, 0.999863
2019 Aug 19 (Mon) 16:30, 0.945147, 0.945042, 0.9451, 0.999822
2019 Aug 19 (Mon) 17:00, 0.955351, 0.955239, 0.955295, 0.999791
2019 Aug 19 (Mon) 17:30, 0.928508, 0.928366, 0.928449, 0.999715
2019 Aug 19 (Mon) 18:00, 0.922779, 0.922617, 0.92271, 0.999647
2019 Aug 19 (Mon) 18:30, 0.992033, 0.990726, 0.973703, 0.986569
2019 Aug 19 (Mon) 19:00, 0.990479, 0.989058, 0.968978, 0.9862
2019 Aug 19 (Mon) 19:30, 0.956268, 0.956112, 0.956184, 0.999629
2019 Aug 19 (Mon) 20:00, 0.969181, 0.969048, 0.969105, 0.999677
2019 Aug 19 (Mon) 20:30, 0.902433, 0.902248, 0.90236, 0.999572
2019 Aug 19 (Mon) 21:00, 0.936871, 0.936708, 0.936793, 0.999637
2019 Aug 19 (Mon) 21:30, 0.933523, 0.933367, 0.933452, 0.999663
2019 Aug 19 (Mon) 22:00, 0.934317, 0.934178, 0.934256, 0.999723
2019 Aug 19 (Mon) 22:30, 0.930134, 0.930005, 0.930082, 0.999757
2019 Aug 19 (Mon) 23:00, 0.926777, 0.926664, 0.926736, 0.999804
2019 Aug 19 (Mon) 23:30, 0.903761, 0.903661, 0.90374, 0.999836
2019 Aug 20 (Tue) 0:00, 0.935009, 0.934931, 0.934983, 0.999893
