Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 233.137, 329.705, -2.47652, 233.699, 330.5, -122.744, 237.541, 335.933, 119.259, 0.447402, 0.632708, -19.2516, 
2019 Aug 19 (Mon) 0:30, 233.115, 329.674, -2.37528, 233.695, 330.495, -122.643, 237.53, 335.918, 119.338, 0.457306, 0.646715, -18.7135, 
2019 Aug 19 (Mon) 1:00, 237.25, 335.522, -0.974824, 237.091, 335.298, -120.955, 237.679, 336.129, 119.278, 0.112286, 0.158763, 146.335, 
2019 Aug 19 (Mon) 1:30, 237.337, 335.646, -0.899095, 237.191, 335.439, -120.88, 237.755, 336.237, 119.335, 0.104712, 0.148049, 145.3, 
2019 Aug 19 (Mon) 2:00, 236.575, 334.567, -0.862752, 236.434, 334.368, -120.836, 237.18, 335.423, 119.369, 0.112354, 0.158843, 136.282, 
2019 Aug 19 (Mon) 2:30, 237.443, 335.795, -0.834703, 237.307, 335.603, -120.816, 237.844, 336.362, 119.383, 0.0979056, 0.138422, 144.665, 
2019 Aug 19 (Mon) 3:00, 237.671, 336.117, -0.840648, 237.534, 335.924, -120.824, 238.016, 336.606, 119.377, 0.0956894, 0.135295, 147.652, 
2019 Aug 19 (Mon) 3:30, 237.416, 335.757, -0.862122, 237.276, 335.559, -120.843, 237.82, 336.328, 119.363, 0.100581, 0.142207, 145.156, 
2019 Aug 19 (Mon) 4:00, 237.124, 335.344, -0.840442, 236.987, 335.151, -120.819, 237.601, 336.018, 119.381, 0.102578, 0.145022, 141.169, 
2019 Aug 19 (Mon) 4:30, 236.778, 334.855, -0.899976, 236.631, 334.647, -120.875, 237.33, 335.635, 119.339, 0.11224, 0.158685, 139.409, 
2019 Aug 19 (Mon) 5:00, 237.015, 335.19, -0.95141, 236.86, 334.971, -120.929, 237.503, 335.88, 119.298, 0.113212, 0.160066, 143.266, 
2019 Aug 19 (Mon) 5:30, 237.116, 335.333, -1.09912, 236.937, 335.08, -121.078, 237.561, 335.963, 119.185, 0.124666, 0.176274, 147.846, 
2019 Aug 19 (Mon) 6:00, 236.981, 335.142, -1.19046, 236.787, 334.867, -121.168, 237.447, 335.801, 119.117, 0.134212, 0.189776, 148.43, 
2019 Aug 19 (Mon) 6:30, 235.278, 332.733, -1.2257, 235.077, 332.449, -121.187, 236.143, 333.956, 119.102, 0.159876, 0.226062, 135.877, 
2019 Aug 19 (Mon) 7:00, 235.557, 333.127, -1.32851, 235.339, 332.819, -121.293, 236.343, 334.239, 119.022, 0.163795, 0.231606, 139.948, 
2019 Aug 19 (Mon) 7:30, 235.163, 332.571, -1.42318, 234.929, 332.24, -121.384, 236.03, 333.797, 118.953, 0.176891, 0.250129, 139.222, 
2019 Aug 19 (Mon) 8:00, 235.413, 332.924, -1.40181, 235.183, 332.599, -121.365, 236.224, 334.071, 118.967, 0.171679, 0.242757, 140.419, 
2019 Aug 19 (Mon) 8:30, 235.039, 332.395, -1.26922, 234.83, 332.1, -121.228, 235.954, 333.69, 119.071, 0.166854, 0.235932, 135.306, 
2019 Aug 19 (Mon) 9:00, 235.13, 332.524, -1.2533, 234.924, 332.233, -121.213, 236.026, 333.791, 119.082, 0.164245, 0.232242, 135.532, 
2019 Aug 19 (Mon) 9:30, 235.961, 333.7, -1.25085, 235.757, 333.41, -121.219, 236.662, 334.69, 119.078, 0.151939, 0.214837, 141.236, 
2019 Aug 19 (Mon) 10:00, 236.612, 334.62, -1.20982, 236.414, 334.34, -121.184, 237.163, 335.399, 119.105, 0.140157, 0.198178, 145.566, 
