Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 17:30, 233.86, 330.727, -1.82125, 233.86, 330.728, -121.819, 235.489, 333.032, 118.69, 0.0918529, 0.129898, 93.8255, 
2019 Aug 19 (Mon) 18:00, 233.095, 329.646, -1.99778, 233.096, 329.647, -121.996, 234.94, 332.255, 118.562, 0.101663, 0.143772, 92.5136, 
2019 Aug 19 (Mon) 18:30, 225.863, 319.419, -7.11424, 225.664, 319.138, -127.048, 233.069, 329.61, 117.17, 1.13632, 1.607, 116.27, 
2019 Aug 19 (Mon) 19:00, 225.467, 318.859, -7.10915, 225.271, 318.582, -127.042, 232.762, 329.175, 117.168, 1.13328, 1.6027, 116.093, 
2019 Aug 19 (Mon) 19:30, 233.666, 330.454, -2.23285, 233.665, 330.452, -122.23, 235.361, 332.85, 118.394, 0.106658, 0.150835, 97.7252, 
2019 Aug 19 (Mon) 20:00, 234.421, 331.522, -2.16905, 234.42, 331.519, -122.167, 235.905, 333.62, 118.441, 0.101077, 0.14294, 100.674, 
2019 Aug 19 (Mon) 20:30, 232.037, 328.15, -2.10018, 232.039, 328.153, -122.098, 234.175, 331.174, 118.486, 0.110743, 0.156614, 89.3419, 
2019 Aug 19 (Mon) 21:00, 233.284, 329.914, -2.09543, 233.284, 329.914, -122.093, 235.08, 332.453, 118.492, 0.103855, 0.146872, 94.5208, 
2019 Aug 19 (Mon) 21:30, 233.454, 330.154, -2.00179, 233.454, 330.154, -122, 235.2, 332.624, 118.56, 0.0998947, 0.141271, 94.1932, 
2019 Aug 19 (Mon) 22:00, 234.043, 330.987, -1.82167, 234.043, 330.987, -121.82, 235.622, 333.22, 118.69, 0.0908986, 0.128548, 94.7558, 
2019 Aug 19 (Mon) 22:30, 234.333, 331.397, -1.6885, 234.333, 331.397, -121.687, 235.828, 333.512, 118.786, 0.0849914, 0.120193, 94.4022, 
2019 Aug 19 (Mon) 23:00, 234.835, 332.107, -1.50242, 234.835, 332.107, -121.501, 236.187, 334.019, 118.92, 0.0762036, 0.107764, 94.3243, 
2019 Aug 19 (Mon) 23:30, 234.956, 332.278, -1.30684, 234.957, 332.279, -121.306, 236.271, 334.137, 119.061, 0.0692773, 0.0979684, 91.47, 
2019 Aug 20 (Tue) 0:00, 236.18, 334.009, -1.13338, 236.18, 334.009, -121.133, 237.15, 335.381, 119.186, 0.0567425, 0.0802344, 96.5185, 
