Time, 10 (2), , , , , , , 21 (6), , , , , , , 33 (9), , , , , , , 39 (10), , , , , , , 45 (11), , , , , , , 56 (15), , , , , , , 57 (16), , , , , , , 5 (12), , , , , , , 62 (17), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 5:30, 236.456, 0, 0, 100, 0, 0, 0, 236.345, 0, 0, 100, 0, 0, 0, 237.088, 0, 0, 98.0846, 0, 0, 0, 236.138, 0, 0, 100, 0, 0, 0, 236.036, 0, 0, 98.4892, 0, 0, 0, 236.467, 0, 0, 100, 0, 0, 0, 236.531, 0, 0, 98.3388, 0, 0, 0, 236.601, 0, 0, 100, 0, 0, 0, 236.374, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 236.268, 0, 0, 100, 0, 0, 0, 236.15, 0, 0, 100, 0, 0, 0, 236.936, 0, 0, 98.0846, 0, 0, 0, 235.928, 0, 0, 100, 0, 0, 0, 235.818, 0, 0, 98.4892, 0, 0, 0, 236.28, 0, 0, 100, 0, 0, 0, 236.35, 0, 0, 98.3388, 0, 0, 0, 236.424, 0, 0, 100, 0, 0, 0, 236.179, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 234.483, 0, 0, 100, 0, 0, 0, 234.319, 0, 0, 100, 0, 0, 0, 235.573, 0, 0, 98.0846, 0, 0, 0, 234.041, 0, 0, 100, 0, 0, 0, 233.902, 0, 0, 98.4892, 0, 0, 0, 234.51, 0, 0, 100, 0, 0, 0, 234.545, 0, 0, 98.3388, 0, 0, 0, 234.665, 0, 0, 100, 0, 0, 0, 234.398, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 234.719, 0, 0, 100, 0, 0, 0, 234.558, 0, 0, 100, 0, 0, 0, 235.742, 0, 0, 98.0846, 0, 0, 0, 234.276, 0, 0, 100, 0, 0, 0, 234.136, 0, 0, 98.4892, 0, 0, 0, 234.742, 0, 0, 100, 0, 0, 0, 234.795, 0, 0, 98.3388, 0, 0, 0, 234.908, 0, 0, 100, 0, 0, 0, 234.624, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 234.261, 0, 0, 100, 0, 0, 0, 234.087, 0, 0, 100, 0, 0, 0, 235.384, 0, 0, 98.0846, 0, 0, 0, 233.781, 0, 0, 100, 0, 0, 0, 233.63, 0, 0, 98.4892, 0, 0, 0, 234.287, 0, 0, 100, 0, 0, 0, 234.341, 0, 0, 98.3388, 0, 0, 0, 234.465, 0, 0, 100, 0, 0, 0, 234.16, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 234.532, 0, 0, 100, 0, 0, 0, 234.365, 0, 0, 100, 0, 0, 0, 235.593, 0, 0, 98.0846, 0, 0, 0, 234.069, 0, 0, 100, 0, 0, 0, 233.923, 0, 0, 98.4892, 0, 0, 0, 234.556, 0, 0, 100, 0, 0, 0, 234.613, 0, 0, 98.3388, 0, 0, 0, 234.73, 0, 0, 100, 0, 0, 0, 234.431, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 234.212, 0, 0, 100, 0, 0, 0, 234.041, 0, 0, 100, 0, 0, 0, 235.362, 0, 0, 98.0846, 0, 0, 0, 233.749, 0, 0, 100, 0, 0, 0, 233.605, 0, 0, 98.4892, 0, 0, 0, 234.241, 0, 0, 100, 0, 0, 0, 234.275, 0, 0, 98.3388, 0, 0, 0, 234.402, 0, 0, 100, 0, 0, 0, 234.124, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 234.315, 0, 0, 100, 0, 0, 0, 234.146, 0, 0, 100, 0, 0, 0, 235.442, 0, 0, 98.0846, 0, 0, 0, 233.86, 0, 0, 100, 0, 0, 0, 233.718, 0, 0, 98.4892, 0, 0, 0, 234.343, 0, 0, 100, 0, 0, 0, 234.377, 0, 0, 98.3388, 0, 0, 0, 234.502, 0, 0, 100, 0, 0, 0, 234.228, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 235.179, 0, 0, 100, 0, 0, 0, 235.032, 0, 0, 100, 0, 0, 0, 236.101, 0, 0, 98.0846, 0, 0, 0, 234.771, 0, 0, 100, 0, 0, 0, 234.642, 0, 0, 98.4892, 0, 0, 0, 235.199, 0, 0, 100, 0, 0, 0, 235.253, 0, 0, 98.3388, 0, 0, 0, 235.355, 0, 0, 100, 0, 0, 0, 235.089, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 235.875, 0, 0, 100, 0, 0, 0, 235.747, 0, 0, 100, 0, 0, 0, 236.635, 0, 0, 98.0846, 0, 0, 0, 235.511, 0, 0, 100, 0, 0, 0, 235.394, 0, 0, 98.4892, 0, 0, 0, 235.89, 0, 0, 100, 0, 0, 0, 235.954, 0, 0, 98.3388, 0, 0, 0, 236.038, 0, 0, 100, 0, 0, 0, 235.786, 0, 0, 100, 0, 0, 0, 
