Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 16:30, 42.2281, 59.7195, -20.5629, 42.2237, 59.6846, -140.58, 30.3224, 42.8608, 99.8508, 11.9027, 16.8292, -81.5443, 
2019 Aug 19 (Mon) 17:00, 46.1097, 65.2089, -18.8556, 46.0999, 65.169, -138.876, 33.1134, 46.8099, 101.604, 12.9876, 18.3638, -79.9552, 
2019 Aug 19 (Mon) 17:30, 53.1194, 75.1221, -23.6178, 53.0967, 75.0651, -143.638, 38.2022, 54.0064, 96.8842, 14.9012, 21.0709, -84.806, 
2019 Aug 19 (Mon) 18:00, 58.9417, 83.356, -24.6619, 58.9072, 83.2856, -144.684, 42.4235, 59.9783, 95.8874, 16.4937, 23.3236, -85.964, 
2019 Aug 19 (Mon) 18:30, 179.82, 254.305, -14.3515, 178.885, 252.975, -134.857, 75.1534, 106.273, 104.001, 102.887, 145.504, -73.1311, 
2019 Aug 19 (Mon) 19:00, 180.557, 255.346, -15.0217, 179.617, 254.01, -135.526, 76.0086, 107.483, 102.859, 102.802, 145.383, -73.4365, 
2019 Aug 19 (Mon) 19:30, 61.5739, 87.0785, -19.2401, 61.5394, 87.0084, -139.268, 44.2883, 62.6164, 101.37, 17.2565, 24.4019, -80.7135, 
2019 Aug 19 (Mon) 20:00, 58.1658, 82.2587, -16.4306, 58.1386, 82.1992, -136.459, 41.8009, 59.0994, 104.162, 16.3392, 23.1043, -77.8693, 
2019 Aug 19 (Mon) 20:30, 64.4905, 91.2033, -27.6205, 64.4418, 91.1169, -147.642, 46.4701, 65.704, 92.9564, 17.9872, 25.4364, -88.9815, 
2019 Aug 19 (Mon) 21:00, 60.1197, 85.022, -22.5629, 60.085, 84.9512, -142.587, 43.2618, 61.164, 98.0118, 16.8316, 23.8013, -83.9355, 
2019 Aug 19 (Mon) 21:30, 57.8151, 81.7627, -23.0109, 57.7843, 81.6965, -143.034, 41.5962, 58.8078, 97.539, 16.196, 22.9023, -84.3202, 
2019 Aug 19 (Mon) 22:00, 52.521, 74.2757, -22.7036, 52.4999, 74.2208, -142.724, 37.7642, 53.3868, 97.7981, 14.7415, 20.8449, -83.8945, 
2019 Aug 19 (Mon) 22:30, 49.0815, 69.4116, -23.2328, 49.066, 69.3628, -143.251, 35.2812, 49.874, 97.2335, 13.7899, 19.4989, -84.3343, 
2019 Aug 19 (Mon) 23:00, 43.9527, 62.1583, -23.5646, 43.9453, 62.1184, -143.581, 31.5792, 44.6368, 96.8517, 12.3699, 17.4902, -84.5424, 
2019 Aug 19 (Mon) 23:30, 39.9842, 56.546, -26.65, 39.9824, 56.5106, -146.662, 28.7272, 40.6009, 93.7149, 11.2594, 15.9194, -87.4922, 
2019 Aug 20 (Tue) 0:00, 32.5909, 46.0903, -21.9037, 32.5987, 46.0683, -141.916, 23.3854, 33.0476, 98.4117, 9.21349, 13.025, -82.6414, 
