Time, 1 (House 1), House 1 Magnitude, House 1 Phase, 10 (House 2), House 2 Magnitude, House 2 Phase, 12 (House 3), House 3 Magnitude, House 3 Phase, 16 (House 4), House 4 Magnitude, House 4 Phase, 2 (House 5), House 5 Magnitude, House 5 Phase, 21 (House 6), House 6 Magnitude, House 6 Phase, 23 (House 7), House 7 Magnitude, House 7 Phase, 24 (House 8), House 8 Magnitude, House 8 Phase, 33 (House 9), House 9 Magnitude, House 9 Phase, 39 (House 10), House 10 Magnitude, House 10 Phase, 45 (House 11), House 11 Magnitude, House 11 Phase, 5 (House 12), House 12 Magnitude, House 12 Phase, 50 (House 13), House 13 Magnitude, House 13 Phase, 51 (House 14), House 14 Magnitude, House 14 Phase, 56 (House 15), House 15 Magnitude, House 15 Phase, 57 (House 16), House 16 Magnitude, House 16 Phase, 62 (House 17), House 17 Magnitude, House 17 Phase, 63 (House 18), House 18 Magnitude, House 18 Phase, 7 (House 19), House 19 Magnitude, House 19 Phase, 
2019 Aug 19 (Mon) 0:00, 233.899, 330.783, -2.42016, 229.429, 324.462, -122.751, 236.412, 334.336, 119.228, 236.291, 334.166, 119.221, 233.78, 330.615, -2.42659, 233.738, 330.555, -2.4156, 233.562, 330.307, -122.552, 236.846, 334.951, 119.259, 237.02, 335.196, 119.301, 233.455, 330.155, -122.431, 233.336, 329.987, -122.438, 228.853, 323.647, -2.4585, 234.095, 331.061, -2.39631, 234.059, 331.009, -122.397, 233.891, 330.772, -2.38124, 233.903, 330.789, -122.433, 233.789, 330.628, -2.37371, 233.825, 330.679, -122.45, 236.271, 334.137, 119.206, 
2019 Aug 19 (Mon) 0:30, 233.923, 330.817, -2.31256, 229.46, 324.505, -122.645, 236.438, 334.374, 119.307, 236.323, 334.211, 119.302, 233.809, 330.656, -2.31727, 233.771, 330.602, -2.30641, 233.591, 330.348, -122.447, 236.865, 334.977, 119.338, 237.046, 335.234, 119.383, 233.501, 330.221, -122.318, 233.387, 330.06, -122.323, 228.872, 323.673, -2.3538, 234.113, 331.086, -2.2923, 234.077, 331.035, -122.293, 233.923, 330.817, -2.2757, 233.923, 330.818, -122.325, 233.828, 330.683, -2.26741, 233.847, 330.709, -122.341, 236.301, 334.18, 119.288, 
2019 Aug 19 (Mon) 1:00, 236.687, 334.726, -0.962625, 236.659, 334.686, -120.943, 237.322, 335.624, 119.329, 237.228, 335.491, 119.321, 236.594, 334.594, -0.970289, 236.556, 334.541, -0.962553, 236.706, 334.753, -120.939, 237.396, 335.729, 119.313, 237.256, 335.53, 119.302, 236.368, 334.275, -120.977, 236.275, 334.144, -120.985, 236.789, 334.871, -0.943444, 236.837, 334.938, -0.939578, 236.837, 334.937, -120.939, 236.67, 334.702, -0.931613, 236.723, 334.777, -120.97, 236.587, 334.584, -0.92763, 236.666, 334.697, -120.985, 237.217, 335.476, 119.309, 
2019 Aug 19 (Mon) 1:30, 236.814, 334.905, -0.885275, 236.789, 334.87, -120.867, 237.427, 335.772, 119.384, 237.338, 335.647, 119.377, 236.726, 334.781, -0.892012, 236.692, 334.733, -0.884642, 236.833, 334.932, -120.864, 237.494, 335.867, 119.369, 237.362, 335.681, 119.359, 236.515, 334.483, -120.898, 236.428, 334.36, -120.904, 236.91, 335.042, -0.867848, 236.955, 335.105, -0.864447, 236.955, 335.105, -120.864, 236.8, 334.886, -0.856299, 236.847, 334.952, -120.892, 236.723, 334.776, -0.852224, 236.793, 334.875, -120.907, 237.327, 335.632, 119.366, 
2019 Aug 19 (Mon) 2:00, 236.03, 333.797, -0.826531, 236.017, 333.778, -120.806, 236.865, 334.978, 119.434, 236.767, 334.839, 119.43, 235.932, 333.658, -0.830102, 235.901, 333.615, -0.82088, 236.066, 333.848, -120.804, 236.927, 335.065, 119.415, 236.78, 334.857, 119.41, 235.706, 333.338, -120.827, 235.609, 333.201, -120.831, 236.144, 333.959, -0.811982, 236.194, 334.029, -0.810182, 236.194, 334.029, -120.81, 236.036, 333.805, -0.795158, 236.06, 333.84, -120.835, 235.957, 333.693, -0.787646, 235.993, 333.745, -120.848, 236.747, 334.811, 119.419, 
2019 Aug 19 (Mon) 2:30, 236.954, 335.104, -0.820356, 236.932, 335.072, -120.803, 237.539, 335.931, 119.43, 237.456, 335.814, 119.423, 236.872, 334.987, -0.826411, 236.84, 334.943, -0.819432, 236.973, 335.131, -120.8, 237.602, 336.019, 119.416, 237.478, 335.845, 119.407, 236.675, 334.709, -120.831, 236.593, 334.593, -120.837, 237.045, 335.233, -0.804338, 237.087, 335.292, -0.80128, 237.087, 335.292, -120.801, 236.943, 335.088, -0.793241, 236.985, 335.147, -120.827, 236.871, 334.986, -0.789222, 236.934, 335.075, -120.84, 237.446, 335.799, 119.413, 
2019 Aug 19 (Mon) 3:00, 237.19, 335.438, -0.832704, 237.165, 335.402, -120.816, 237.709, 336.171, 119.418, 237.629, 336.059, 119.411, 237.111, 335.326, -0.839623, 237.079, 335.28, -0.833204, 237.205, 335.458, -120.813, 237.773, 336.262, 119.406, 237.654, 336.094, 119.395, 236.92, 335.056, -120.847, 236.841, 334.944, -120.854, 237.276, 335.559, -0.815956, 237.317, 335.616, -0.81246, 237.316, 335.616, -120.812, 237.174, 335.414, -0.806406, 237.222, 335.482, -120.839, 237.103, 335.314, -0.803379, 237.175, 335.416, -120.852, 237.621, 336.047, 119.401, 
2019 Aug 19 (Mon) 3:30, 236.913, 335.046, -0.848478, 236.89, 335.012, -120.831, 237.505, 335.882, 119.41, 237.42, 335.762, 119.403, 236.829, 334.926, -0.854883, 236.796, 334.88, -0.847783, 236.932, 335.072, -120.828, 237.57, 335.974, 119.395, 237.443, 335.795, 119.386, 236.627, 334.641, -120.86, 236.543, 334.522, -120.867, 237.006, 335.177, -0.831815, 237.049, 335.238, -0.828581, 237.049, 335.238, -120.828, 236.9, 335.028, -0.820645, 236.945, 335.091, -120.855, 236.826, 334.923, -0.816677, 236.893, 335.017, -120.869, 237.409, 335.748, 119.393, 
2019 Aug 19 (Mon) 4:00, 236.617, 334.626, -0.817841, 236.598, 334.6, -120.799, 237.294, 335.584, 119.435, 237.206, 335.459, 119.429, 236.529, 334.502, -0.82291, 236.498, 334.458, -0.815117, 236.642, 334.662, -120.797, 237.356, 335.672, 119.419, 237.224, 335.485, 119.411, 236.322, 334.21, -120.825, 236.235, 334.086, -120.83, 236.716, 334.767, -0.80248, 236.761, 334.831, -0.799922, 236.761, 334.83, -120.8, 236.612, 334.62, -0.789267, 236.647, 334.669, -120.825, 236.538, 334.515, -0.78394, 236.59, 334.589, -120.838, 237.192, 335.44, 119.419, 
2019 Aug 19 (Mon) 4:30, 236.226, 334.074, -0.871182, 236.208, 334.049, -120.851, 237.001, 335.17, 119.399, 236.904, 335.032, 119.395, 236.13, 333.938, -0.876043, 236.097, 333.891, -0.867263, 236.257, 334.118, -120.848, 237.067, 335.263, 119.382, 236.921, 335.057, 119.375, 235.903, 333.617, -120.876, 235.807, 333.481, -120.881, 236.337, 334.231, -0.855144, 236.386, 334.301, -0.852693, 236.386, 334.301, -120.852, 236.225, 334.072, -0.83984, 236.258, 334.12, -120.88, 236.144, 333.958, -0.833414, 236.194, 334.029, -120.893, 236.887, 335.009, 119.383, 
